id,question,A,B,C,D,E,answer,category,macro category
19,Quale dei seguenti esami diagnostici è di maggiore ausilio nella diagnosi di cancro gastrico:,Rx digerente,Esofagogastroscopia con biopsia,TAC,Esame citologico del succo gastrico,Ecografia,B,Area Clinica 2017,chirurgia generale
20,La dilatazione del plesso pampiniforme costituisce:,uno spermatocele,un idrocele,un varicocele,un cistocele,un mielocele,C,Area Clinica 2017,chirurgia generale
21,"In caso di cancro della prostata , all'esplorazione digitale del retto, si possono riscontrare tutte le seguenti peculiarie obiettività , TRANNE:",perdita di simmetria della ghiandola,conservazione del solco mediano interlobare,mancata scorrevolezza dei piani sovrastanti,margini e limiti mal definibili,consistenza aumentata,B,Area Clinica 2017,chirurgia generale
22,La gangrena gassosa è comunemente causata da:,S. epidermidis,S. aureus,E. coli,C. perfringens,P. mirabilis,D,Area Clinica 2017,chirurgia generale
23,L'intervento chirurgico di legatura della vena spermatica è indicato nella cura di:,Induratio penis plastica (malattia di La Peyronie),Torsione del funicolo,Varicocele,Criptorchidismo,Idrocele comunicante,C,Area Clinica 2017,chirurgia generale
24,"Il colangiocarcinoma con quale tra i seguenti sintomi più frequentemente si manifesta ? AREA CLINICA Pag. 5/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",disfagia,stipsi,ittero,aumento di peso,diarrea,C,Area Clinica 2017,chirurgia generale
25,"Tutte le seguenti patologie sono causa di litiasi primitiva della vescica, tanne:",ipertrofia prostatica,sclerosi del collo vescicale,stenosi uretrale,vescica neurologica,prostatite acuta,E,Area Clinica 2017,chirurgia generale
26,A 48 ore dall'esordio di una torsione del testicolo quale tra le seguenti è la diagnosi differenziale più difficile:,Idrocele,Seminoma,Epididimite tubercolare,Orchiepididimite acuta aspecifica,Ernia inguino-scrotale strozzata,D,Area Clinica 2017,chirurgia generale
27,Quali di queste manovre semeiologiche evoca dolore  in caso di colecistite?,murphy,blumberg,giordano,mc burney,roovsing,A,Area Clinica 2017,chirurgia generale
28,Qual è l'indagine di elezione per lo studio delle neoplasie retroperitoneali?,urografia,TAC,aortografia,retropneumoperitoneo,clisma opaco,B,Area Clinica 2017,chirurgia generale
29,Il più comune sintomo nel carcinoma del retto e':,l'alvo alternante,il dolore anale,il dolore addominale,la rettorragia,la stipsi,D,Area Clinica 2017,chirurgia generale
30,"Tutte le seguenti possono essere causa di ginecomastia secondaria, tranne: AREA CLINICA Pag. 6/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",tumori del testicolo,cirrosi epatica,insufficienza renale cronica,tumori cortico-surrenalici,carenze alimentari,C,Area Clinica 2017,chirurgia generale
31,"Tutti i seguenti sono segni presenti nell'insufficienza celiaco-mesenterica cronica, tranne:",dolore post-prandiale,malassorbimento,dimagrimento,senso di tensione addominale,melena,E,Area Clinica 2017,chirurgia generale
32,L'arterite di Horton risulta essere più frequentemente preceduta da:,artrosi lombosacrale,periartrite scapolo-omerale,artrite reumatoide,polimiosite,epicondilite,D,Area Clinica 2017,chirurgia generale
33,"Tutti i seguenti sono segni caratteristici di esofagite da reflusso, tranne:",dolore interscapolare,dolore urente in posizione supina,disfagia,presenza di sangue occulto nelle feci,emottisi,E,Area Clinica 2017,chirurgia generale
34,La sindrome di Peutz-Jeghers è caratterizzata da:,"ulcerazioni multiple della mucosa del tubo digerente, calcolosi biliare e splenomegalia",iperpigmentazioni muco-cutanee ed amartomi del tubo digerente,"ascite, tumori dell'orofaringe ed ipogonadismo",alopecia ed angiodisplasia del colon,ipertensione nefro-vascolare ed esofagite da reflusso,B,Area Clinica 2017,chirurgia generale
35,"Tutte le seguenti affermazioni riferite allo pneumoperitoneo sono corrette, tranne:",è definito dalla presenza di gas libero in cavità peritoneale,si riscontra pressoché costantemente in seguito a perforazione di visceri cavi addominali,può essere indotto in laparoscopia,comporta di norma la scomparsa dell'aia di ottusità epatica,comporta tenesmo,E,Area Clinica 2017,chirurgia generale
36,"Una donna di 24 anni viene sottoposta ad un intervento di laparoscopia esplorativa per sospetta appendicite. Intraoperatoriamente si fa diagnosi di rottura di un diverticolo che coinvolge ampiamente il cieco senza segni di peritonite franca. Il trattamento di scelta è: AREA CLINICA Pag. 7/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",resezione dell'ileo terminale e del colon ascendente con ileostomia,resezione dell'ileo terminale e del colon ascendente con anastomosi ileocolica primaria in tempo unico,emicolectomia destra,drenaggio dell'ascesso e appendicectomia,chiusura dell'addome e trattamento antibiotico,B,Area Clinica 2017,chirurgia generale
37,"Tutte le seguenti affermazioni riguardanti la sindrome di Mallory-Weiss sono corrette, tranne:",l'ematemesi può verificarsi senza precedenti episodi di vomito,"la lacerazione è singola, lineare e localizzata nell'esofago distale",l'esofagoscopia è utile nel fare la diagnosi,lo studio con bario per os è il modo migliore per fare la diagnosi,l'infusione intra-arteriale di vasopressina può riuscire a controllare il sanguinamento,D,Area Clinica 2017,chirurgia generale
38,Le colate di necrosi da pancreatite acuta vengono diagnosticate con:,radiografia del tubo digerente,scintigrafia pancreatica,arteriografia del tripode celiaco,TAC addominale,Rx addome diretto,D,Area Clinica 2017,chirurgia generale
39,Con quale delle seguenti condizioni patologiche  può essere associato l'idrotorace?,compressione venosa brachio-cefalica,compressione soprazygale,compressione azygale,compressione sottoazygale,varici esofagee,C,Area Clinica 2017,chirurgia generale
40,Il trattamento immediato del pneuomotorace ipertensivo non traumatico consiste nel/nella:,toracotomia d'urgenza,intubazione oro-tracheale,drenaggio pleurico,antibiotico-terapia,riposo assoluto a letto e fasciatura del torace,C,Area Clinica 2017,chirurgia generale
41,Una donna di 70 anni ha una sintomatologia ed un quadro clinico da ostruzione del piccolo intestino. In passato non è mai stata sottoposta ad intervento chirurgico ma la paziente ha una lunga storia di colelitiasi per la quale non è stata operata. Quale dei seguenti esami è più indicato per una diagnosi corretta?,Clisma opaco,Arteriografia,Colangiografia transepatica,Radiografia dell'addome senza mezzo di contrasto,Ecografia del quadrante addominale superiore destro,D,Area Clinica 2017,chirurgia generale
42,"Tutte le seguenti sono indicazioni alla chirurgia laparoscopica in urgenza, tranne: AREA CLINICA Pag. 8/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Rottura di cisti ovarica,Colecistite acuta,Perforazione intestinale,Ileo meccanico post-aderenziale,Peritonite generalizzata con shock settico,E,Area Clinica 2017,chirurgia generale
43,"A proposito di malattia di Crohn e  rettocolite ulcerosa, quale tra le seguenti affermazioni è esatta:",la localizzazione abituale della malattia di Crohn è il retto,l'incidenza del carcinoma è più elevata nella malattia di Crohn che nella rettocolite ulcerosa,l'emorragia rettale è più frequente nella rettocolite ulcerosa che nella malattia di Crohn,le fistole sono più frequenti nella rettocolite ulcerosa che nella malattia di Crohn,le stenosi intestinali sono meno frequenti nella malattia di Crohn che nella rettocolite ulcerosa,C,Area Clinica 2017,chirurgia generale
44,Quale tra i seguenti  sintomi si riscontra più comunemente nel cancro della vescica?,infezioni urinarie ricorrenti e persistenti,incontinenza urinaria,ematuria,pollachiuria,disuria,C,Area Clinica 2017,chirurgia generale
45,"A proposito dell'ernia crurale, tutte le seguenti affermazioni sono corrette, TRANNE:",E' sempre facilmente riducibile,E' più frequente nelle donne,Ha una alta incidenza di strangolamento,Può a destra contenere l'appendice ciecale,E' localizzata al di sotto del legamento inguinale,A,Area Clinica 2017,chirurgia generale
46,"Nel caso di diagnosi prenatale di rene multicistico, quale dei seguenti comportamenti è corretto:",controllo ecografico della gravidanza ed esecuzione di taglio cesareo al termine fisiologico,controllo ecografico della gravidanza ed esecuzione di taglio cesareo prima del termine fisiologico (appena raggiunta la maturità polmonare),controllo ecografico della gravidanza e parto spontaneo a termine,controllo ecografico della gravidanza e taglio cesareo al 7° mese,controllo ecografico della gravidanza ed induzione di parto spontaneo non appena raggiunta la maturità polmonare,C,Area Clinica 2017,chirurgia generale
47,In caso di appendicite acuta una esplorazione rettale e/o vaginale dolorosa indica generalmente:,Piosalpinge,Fistola retto-vaginale,Cistite associata,Peritonite endopelvica,Diverticolo di Meckel,D,Area Clinica 2017,chirurgia generale
48,"Tutti i seguenti segni e sintomi rientrano nel corteo sintomatologico dell'enterite segmentaria o morbo di Crohn TRANNE: AREA CLINICA Pag. 9/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",stipsi,febbre,diarrea ematica,diarrea con presenza di sangue nelle feci,vomito,A,Area Clinica 2017,chirurgia generale
49,Quale indagine usi per valutare la pressione endoluminale dell'esofago?,esofagoscopia,PHmetria,manometria,sondaggio gastrico,esofagografia,C,Area Clinica 2017,chirurgia generale
50,Il segno di Trousseau (mano da ostetrico) è patognomonico di quale delle seguenti patologie?,ipogonadismo,iperparatiroidismo,ipertiroidismo,ipotiroidismo,ipoparatiroidismo,E,Area Clinica 2017,chirurgia generale
51,"Un paziente di 70 anni, affetto da carcinoma epidermoide centro-parenchimale del polmone con indici funzionali normali, in buone condizioni generali:",deve essere soltanto irradiato,deve fare soltanto terapia citostatica e cobalto-terapia,può essere sottoposto a resezione polmonare,"deve fare qualsiasi terapia, ad eccezione di quella chirurgica",deve fare soltanto cicli di immunoterapia,C,Area Clinica 2017,chirurgia generale
52,Quale delle seguenti valutazioni ha la priorità nel paziente politraumatizzato?,controllo dello stato di coscienza,controllo della respirazione,controllo della pervietà delle vie aeree,controllo dell'attività cardiocircolatoria,controllo della pressione arteriosa,C,Area Clinica 2017,chirurgia generale
53,"A proposito del  pneumotorace iperteso, TUTTE LE SEGUENTI AFFERMAZIONI SONO ERRATE, TRANNE:",si accompagna ad ipertensione arteriosa,necessita di decompressione immediata,non provoca alterazioni della respirazione,è causato da un versamento pleurico massivo,richiede il posizionamento di un sondino naso-gastrico in aspirazione,B,Area Clinica 2017,chirurgia generale
54,"Carcinoma della mammella e' classificato T2 se le sue dimensioni sono: AREA CLINICA Pag. 10/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,","maggiore di 1 cm, ma minore di 2,5 cm","maggiore di 2 cm, ma minore di 3,1 cm","maggiore di 2 cm, ma minore di 5,1 cm",tra 3 e 5 cm,tra 3 e 6 cm,C,Area Clinica 2017,chirurgia generale
55,"Tutti i seguenti sono possibili segni di reazione avversa in corso di emotrasfusione, TRANNE:",febbre,emolisi,orticaria,ipercalcemia,ipocalcemia,D,Area Clinica 2017,chirurgia generale
56,"Tutte le seguenti sono indicazioni al trapianto di fegato nell' adulto, ECCETTO:",epatosteatosi acuta gravidica,cirrosi biliare primitiva,colangite sclerosante,cirrosi criptogentiche,calcolosi colecisto-coledocica,E,Area Clinica 2017,chirurgia generale
57,Indicare quale tra le seguenti è la causa più frequente di ittero ostruttivo:,Compressione ab estrinseco,Lesione iatrogena,Neoplasia epatica,Neoplasia della testa pancreatica,Flogosi delle vie biliari extraepatiche,D,Area Clinica 2017,chirurgia generale
58,Quale è il più comune sito di cancro della mammella,sopra il capezzolo,sotto il capezzolo,quadrante supero esterno,quadrante supero interno,quadrante infero esterno,C,Area Clinica 2017,chirurgia generale
59,"Tutte le seguenti possono essere manifestazioni di complicanze del diverticolo di Meckel, TRANNE :",introflessione ed invaginazione,secrezione di acido cloridrico,ostruzione del tenue,emorragia e perforazione,pancreatite acuta emorragica,E,Area Clinica 2017,chirurgia generale
60,"Quale tra i seguenti organi è più frequentemente leso nei traumi chiusi addominali? AREA CLINICA Pag. 11/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",fegato,milza,stomaco,vescica,pancreas,B,Area Clinica 2017,chirurgia generale
61,L'esame diagnostico piu' importante in un paziente con il forte sospetto di carcinoma esofageo e':,un esame Rx con bario,una TC del torace,una TC dell'addome superiore,una esofagoscopia,uno studio della motilità esofagea,D,Area Clinica 2017,chirurgia generale
62,Quale tra i seguenti è un segno clinico importante di malattia di Hashimoto?,ipertiroidismo,gozzo,cheratocongiuntivite secca,artralgia,esoftalmo,B,Area Clinica 2017,chirurgia generale
63,In un paziente con ostruzione neoplastica del coledoco la colecisti è:,mai distesa,raramente distesa,frequentemente distesa,mai palpabile,esclusa,C,Area Clinica 2017,chirurgia generale
64,Quale delle seguenti diagnosi e' la piu' probabile in una donna di 53 anni con ipertiroidismo e tumefazione del collo,tiroidite di Hashimoto,malatie di Graves,malattia di Plummer,carcinoma papillifero,adenoma follicolare,C,Area Clinica 2017,chirurgia generale
65,Quale delle seguenti e' la piu' temibile evoluzione di un'arterite di Horton non trattata?,embolia polmonare,cecità irreversibile bilaterale,trombosi dell'arteria temporale superficiale,sordità cocleare,violenti e ripetuti attacchi di cefalea temporale,B,Area Clinica 2017,chirurgia generale
66,"Quale è attualmente il farmaco base nel trattamento neoadiuvante del carcinoma del retto? AREA CLINICA Pag. 12/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",mitomicina-C,5-Fluorouracile,Adriamicina,VP-16,Nessuna delle altre risposte indicate e' vera,B,Area Clinica 2017,chirurgia generale
67,"Paziente di 85 anni, con dolori addominali di spiccata intensità e  diffusi a tutti i quadranti, agitazione, diarrea, febbricola, senso di vomito. Addome trattabile, modicamente dolente,assenza di masse endoaddominali, peristalsi presente. Evidente discrepanza tra obiettività addominale ed impegno del quadro clinico generale. Leucocitosi 20.000, elevate LDH-GOT-GPT-Gamma GT, acidosi metabolica. Da quale patologia è affetto:",Occlusione intestinale,Aneurisma dell'aorta in fase di rottura,Pancreatite acuta,Infarto intestinale,Colite infiammatoria,D,Area Clinica 2017,chirurgia generale
68,Quale tra i seguenti organi viene prelevato da donatore multiorgano cadavere a scopo di trapianto?,gonadi,surrene,rene,milza,midollo spinale,C,Area Clinica 2017,chirurgia generale
69,"A proposito di profilassi antibiotica in chirurgia , tutte le seguenti affermazioni sono corrette,TRANNE :","gli interventi chirurgici ""puliti"" non necessitano di profilassi antibiotica",gli interventi chirurgici in cui deve essere impiantata una protesi richiedono la profilassi antibiotica short-term,gli antibiotici utilizzati nella profilassi delle infezioni chirurgiche devono aver raggiunto una concentrazione tissutale efficace al momento dell'incisione cutanea,gli antibiotici utilizzati a scopo profilattico dovrebbero essere somministrati solo  per un massimo di 24 ore dopo l'intervento,la somministrazione va iniziata la sera precedente l'intervento,E,Area Clinica 2017,chirurgia generale
70,Il trattamento del pneumotorace ipertensivo è:,toracotomia esplorativa,somministrazione di ossigeno,attesa,drenaggio in aspirazione,intubazione,D,Area Clinica 2017,chirurgia generale
71,La vena spermatica destra sbocca nella,vena cava,vena renale,vena iliaca comune,vena iliaca esterna,"vena pudenda interna AREA CLINICA Pag. 13/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",A,Area Clinica 2017,chirurgia generale
72,"Nella valutazione diagnostica di un paziente con disfagia da probabile neoplasia esofagea, l'elemento piu' importante e':",il livello della stenosi,l'ulcerazione della lesione,la durata della disfagia,l'esofagoscopia con biopsia,l'esofagografia,D,Area Clinica 2017,chirurgia generale
73,Un uomo di 57 anni si presenta al medico curante lamentando negli ultimi tre mesi frequenti episodi di  discrete rettorragie post-alvine con dischezia e tenesmo rettale. Quale fra le seguenti è una indagine di prima scelta?,Eseguire una esplorazione rettale digitale ed una ano-rettoscopia,Eseguire una pancolonscopia,Richiedere l'esecuzione di un clisma opaco a doppio contrasto,Eseguire un esame chimico e parassitologico delle feci,Eseguire la ricerca del sangue occulto nelle feci,A,Area Clinica 2017,chirurgia generale
74,Il megacolon tossico richiede:,un intervento immediato,un intervento di urgenza dopo ripristino dell' equilibrio elettrolitico,il solo ripristino dell' equilibrio elettrolitico,trattamento chemioterapico ed idroelettrolitico,provvedimenti medici fino all' equilibrio per operare il pz in elezione,B,Area Clinica 2017,chirurgia generale
75,Quale tra i seguenti e' il tumore maligno del tratto intestinale piu' frequente in eta' giovanile?,linfosarcoma,carconoide,carcinoma del colon,neuroblatoma,rabdomiosarcoma,A,Area Clinica 2017,chirurgia generale
76,Quale tra le seguenti è controindicazione assoluta alla Colecistectomia Video Laparoscopica (CVL),obesità,Pregressi interventi chirurgici addominali,Voluminosa ernia epigastrica,Nessuna,Ernia ombellicale,D,Area Clinica 2017,chirurgia generale
77,In quale tratto colico piu' frequentemente un cancro del sigma può determinare una perforazione diastasica?,colon discendente,flessura splenica,cieco,sigma stesso,"colon trasverso AREA CLINICA Pag. 14/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",C,Area Clinica 2017,chirurgia generale
78,Il  Carcinoma della mammella è classificato T2 se le sue dimensioni sono:,">1cm., ma <2,5",">2cm., ma <3,1",">2cm., ma <5,1",tra 3 e 5 cm.,tra 3 e 6 cm.,C,Area Clinica 2017,chirurgia generale
79,"Tutte le seguenti sono considerate  complicanze tecniche dell'incannulamento di una vena centrale per nutrizione parenterale totale (NPT), TRANNE:",pneumotorace,la malposizione del catetere,la puntura dell'arteria succlavia,lacerazione della vena succlavia,lesione dell' arteria ascellare,E,Area Clinica 2017,chirurgia generale
80,"Qual è l'indirizzo diagnostico più verosimile in un paziente di 60 anni con dolore addominale improvviso trafittivo in fossa iliaca sinistra, febbre, leucocitosi, contrattura di difesa addominale nella sede del dolore iniziale e alvo chiuso?",appendicite acuta,colecistite acuta,perforazione di diverticolo sigmoideo,tumore del cieco,colica renale sinistra,C,Area Clinica 2017,chirurgia generale
81,"Quale dei seguenti rappresenta il trattamento d'elezione della ""poliposi familiare intestinale""?",osservazione,resezione segmentaria dell'intestino interessato,colectomia totale,by-pass intestinale,colonscopia periodica,C,Area Clinica 2017,chirurgia generale
82,Il trattamento elettivo di un fibroadenoma della mammella è:,quadrantectomia,mastectomia semplice,mastectomia radicale,escissione del tumore,radioterapia,D,Area Clinica 2017,chirurgia generale
83,"Quale tra i seguenti sintomi e segni, pur presenti in caso di perforazione del tubo gastro-intestinale, ne è segno patognomonico?",leucocitosi,contrattura dei muscoli addominali,scomparsa dell'aia di ottusità epatica,aumento della frequenza cardiaca,"febbre AREA CLINICA Pag. 15/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",C,Area Clinica 2017,chirurgia generale
84,Le metastasi del cancro della prostata più frequenti sono a carico:,delle ossa del bacino e delle ultime vertebre lombari,del fegato,dell'encefalo,del polmone,pancreas,A,Area Clinica 2017,chirurgia generale
85,"Tutte le seguenti sono considerate indicazioni al trapianto di fegato nell'adulto, tranne:",Il morbo di Wilson,La cirrosi biliare primaria,La colangite sclerosante,Metastatizzazione epatica,Cirrosi alcolica,D,Area Clinica 2017,chirurgia generale
86,Attraverso quale via si esegue la mediastinoscopia?,trans-orale,trans-laringea,trans-cutanea,trans-diaframmatica,trans-esofagea,C,Area Clinica 2017,chirurgia generale
87,"In caso di disturbi respiratori di un bambino, l'esame diagnostico più indicato è:",emocromo,emogasanalisi,esame dell'espettorato,elettrocardiogramma,radiografia del torace,E,Area Clinica 2017,chirurgia generale
88,"In una paziente di 76 anni che riferisce la comparsa di ""disfagia per i solidi"" da alcune settimane, sono possibili tutte le seguenti ipotesi diagnostiche, TRANNE:",Diverticoli esofagei,Evoluzione di una malattia da reflusso gastro esofageo,Un tumore dell'esofago,Morbo di Parkinson,Diverticolo di Meckel,E,Area Clinica 2017,chirurgia generale
89,Ad un paziente con poliposi familiare del colon viene asportato un polipo. Quale tipo di polipo è più probabile che venga trovato?,Un adenoma villoso,Un polipo iperplastico,Un polipo adenomatoso,Un polipo ritenzionale,"Uno pseudopolipo AREA CLINICA Pag. 16/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",C,Area Clinica 2017,chirurgia generale
90,"In tutte le seguenti sedi si possono rilevare reperti radiologici di calcificazioni, tranne:",vescica urinaria,bacinetto renale,diverticolo di meckel,aneurisma aortico,via biliare intraepatica,C,Area Clinica 2017,chirurgia generale
91,"Dopo un violento trauma chiuso, un arto si presenta pallido e freddo. L'impiego di vasodilatatori non migliora il quadro clinico. La diagnosi più probabile è:",ematoma pulsante,ematoma intramurale,aneurisma post-traumatico,fistola artero-venosa,trombosi venosa profonda,B,Area Clinica 2017,chirurgia generale
92,"Tutti i seguenti sono considerati  punti dolorosi  appendicolari in caso di appendicite acuta, TRANNE :",Mc Burney,Morris,Munro,Lanz,Murphy,E,Area Clinica 2017,chirurgia generale
93,"Quale dei seguenti esami è prioritario, di pronta realizzazione ed efficacia diagnostica in un paziente con ittero a recente insorgenza, prurito, dolori all'ipocondrio destro e dispepsia?",colecistografia per os,colangiografia endovenosa,colangio risonanza magnetica nucleare,radiografia dell'addome,"ecografia epato-bilio-pancreatica, eventualmente seguita da colangio-pancreatografia   retrograda  endoscopica",E,Area Clinica 2017,chirurgia generale
94,Il mucocele dell'appendice ciecale è:,un tumore maligno,una cisti da ritenzione,un tumore benigno,una patologia su base allergica,una patologia su base infettiva,B,Area Clinica 2017,chirurgia generale
95,"Tutte le seguenti sono possibili condizioni favorenti l'infarto mesenterico venoso, tranne:",ipertensione portale,tumori pancreatici,anticoncezionali orali,sindrome di Boerhaave,"pregresse tromboflebiti AREA CLINICA Pag. 17/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",D,Area Clinica 2017,chirurgia generale
96,Da cosa e' caratterizzata la sindrome di Mallory-Weiss?,Rottura dell'esofago,Stenosi dell'esofago,Associazione di diverticolo esofageo ed acalasia,Spasmo esofageo diffuso,Fissurazione della mucosa esofagea,E,Area Clinica 2017,chirurgia generale
97,L'ernia inguinale diretta è:,un'ernia che fuoriesce medialmente ai vasi epigastrici,un'ernia che fuoriesce lateralmente ai vasi epigastrici,un'ernia che fuoriesce al di sotto del leg. inguinale,un'ernia che attraversa il canale otturatorio,un'ernia che attraversa l'anello inguinale interno,A,Area Clinica 2017,chirurgia generale
98,La più frequente causa di una fistola bilio-digestiva è :,ulcera gastrica o duodenale,carcinoma del colon trasverso,idatidosi del fegato,calcolosi biliare,carcinoma dello stomaco,D,Area Clinica 2017,chirurgia generale
99,Nella etiologia del carcinoma dell'ano sono considerati ad elevato rischio i soggetti affetti da:,malattia infiammatoria cronica intestinale,polipi adenomatosi del colon,storia familiare di cancro dell'ano,condilomatosi,lunga storia di emorroidi,D,Area Clinica 2017,chirurgia generale
100,"Nel sospetto diagnostico di occlusione intestinale, l'indagine di scelta è:",ecografia addome,radiografia diretta dell'addome,TAC,laparoscopia,RMN,B,Area Clinica 2017,chirurgia generale
101,La terapia chirurgica dell'acalasia cardiale è per solito orientata verso,Esofagectomia parziale,Cardiomiotomia extramucosa,Creazione di un by-pass esofago-gastrico,Apposizione di protesi nel terzo inferiore dell'esofago,Esofagectomia totale,B,Area Clinica 2017,chirurgia generale
102,"Quale tra i seguenti è il segno più frequente di cancro della vescica? AREA CLINICA Pag. 18/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",cistopielite recidivante,ritenzione acuta d'urina,ematuria,pollachiuria,stranguria,C,Area Clinica 2017,chirurgia generale
