,id,question,A,B,C,D,E,answer,category,macro category
10,11,a quale classe di farmaci appartiene il salbutamolo?,agonisti beta2-adrenergici,beta-bloccanti,antiserotoninergico,antistaminici,anticolinergici,A,Area Preclinica 2018,farmacologia
11,12,tutte le beta lattamine indicate sono resistenti alle beta lattamasi tranne,oxacillina,flucloxacillina,penicillina v,imipenem,nafcillina,C,Area Preclinica 2018,farmacologia
12,13,quali dei seguenti è un uso appropriato dell'imipramina?,insonnia,epilessia,enuresi notturna dell'adolescente,glaucoma,mania,C,Area Preclinica 2018,farmacologia
13,14,quale dei seguenti antibiotici rappresenta una possibile alternativa alla rifampicina nei protocolli di associazione utilizzati nella terapia della tubercolosi polmonare?,vancomicina,ossitetraciclina,ofloxacina,cloramfenicolo,ampicillina,C,Area Preclinica 2018,farmacologia
14,15,l'inibizione enzimatica,richiede un contatto ripetuto o protratto del farmaco con l'enzima,è un fenomeno di interesse tossicologico ma non terapeutico,è un fenomeno privo di interesse pratico,determina gli effetti farmacologici e terapeutici di numerosi farmaci,è sempre irreversibile,D,Area Preclinica 2018,farmacologia
15,16,quale dei sottoelencati antibiotici è attivo nei confronti dello haemophilus?,bacitracina,teicoplanina,cicloserina,ampicillina,penicillina g,D,Area Preclinica 2018,farmacologia
16,17,"indicare quale, tra quelli elencati, rappresenta un vantaggio della via di somministrazione sublinguale:",permette un accurato controllo della posologia,la biodisponibilità è costante,i farmaci raggiungono prima il circolo ematico evitando gli effetti da primo passaggio,presenta un basso rischio di effetti indesiderati,facilita l'assorbimento dei farmaci scarsamente liposolubili,C,Area Preclinica 2018,farmacologia
17,18,quale delle seguenti affermazioni relative all'antagonismo competitivo è corretta?,il legame dell'antagonista e dell'agonista con il recettore si escludono mutuamente,e' sempre irreversibile,l'agonista e l'antagonista possono legarsi al recettore contemporaneamente,può essere allosterico,in presenza di un antagonista competitivo la potenza apparente dell'agonista aumenta,A,Area Preclinica 2018,farmacologia
18,19,quale dei seguenti farmaci non determina nefrotossicità?,amfotericina b,cis-platino,gentamicina,amoxicillina,vancomicina,D,Area Preclinica 2018,farmacologia
19,20,in quale delle seguenti condizioni il trattamento con corticoisteroidi non è indicato?,herpes simplex oculare,stato asmatico,sindrome nefrosica,collagenopatie,insufficienza renale cronica,A,Area Preclinica 2018,farmacologia
20,21,quale tra i seguenti non è un effetto indesiderato dell'aloperidolo?,disfunzione sessuale,stipsi,segni extrapiramidali,agranulocitosi,ipertensione,E,Area Preclinica 2018,farmacologia
21,22,quale tra i seguenti farmaci non è un agonista beta-adrenergico?,adrenalina,isoproterenolo,noradrenalina,fentolamina,dobutamina,D,Area Preclinica 2018,farmacologia
22,23,quale tra le seguenti classi di farmaci non è utilizzata nella cardiopatia ischemica?,cortisonici,nitroderivati,beta-bloccanti,ace inibitori,antiaggreganti piastrinici,A,Area Preclinica 2018,farmacologia
23,24,indicare quale tra i seguenti effetti non è compreso tra quelli indotti dai glucocorticoidi:,alterata distribuzione di tessuto adiposo,aumento della sintesi proteica a livello cutaneo,inibizione della sintesi dei leucotrieni,aumento della glicemia,immunosoppressione,B,Area Preclinica 2018,farmacologia
24,25,"in assenza di agonisti, il pindololo causa un aumento della frequenza cardiaca mediato dall'attivazione dei recettori beta. tuttavia, in presenza di stimolanti del recettore beta, il pindololo causa una riduzione reversibile e dose-dipendente della frequenza cardiaca . pertanto il pindololo è un:",antagonista non-competitivo,antagonista fisiologico,agonista inverso,agonista parziale,agonista solo dei recettori soprannumerari,D,Area Preclinica 2018,farmacologia
25,26,"i farmaci per la terapia dell'asma vengono somministrati per via inalatoria allo scopo di minimizzarne gli effetti sistemici. tutti i seguenti farmaci sono efficaci quando somministrati per questa via, tranne:",ipratropio bromuro,salmeterolo,fluticasone,aminofillina,nedocromile,D,Area Preclinica 2018,farmacologia
26,27,"nel caso in cui sia necessario sottoporre a trattamento farmacologico con fans un soggetto con pregressa ulcera peptica, è opportuno un trattamento combinato con:",diuretici per facilitare l'eliminazione dei fans,analoghi delle prostaglandine come protettori della mucosa gastrica,glucocorticoidi per ridurre la dose dei fans,antispastici per prevenire gli spasmi dello sfintere esofageo,calcio-antagonisti per ridurre la gastrolesività dei fans,B,Area Preclinica 2018,farmacologia
27,28,quale dei seguenti diuretici è il più appropriato nel trattare l'ipercalciuria?,furosemide,triamterene,mannitolo,acetazolamide,idroclorotiazide,E,Area Preclinica 2018,farmacologia
28,29,quale dei seguenti farmaci è un beta bloccante selettivo?,practololo,atenololo,sotalolo,propranololo,pindololo,B,Area Preclinica 2018,farmacologia
29,30,cosa si intende per farmacovigilanza?,l'osservatorio nazionale per il monitoraggio della spesa farmaceutica,la fase iv della sperimentazione clinica dei farmaci (fase post-marketing),la valutazione dell'efficacia clinica dei nuovi farmaci,l'ente europeo responsabile dell'autorizzazione all'uso clinico dei nuovi farmaci,l'ultima fase della sperimentazione preclinica dei farmaci,B,Area Preclinica 2018,farmacologia
30,31,quale dei farmaci riportati è responsabile di tossicità renale ?,bicarbonato di sodio,cimetidina,ciclosporina,azitromicina,diazepam,C,Area Preclinica 2018,farmacologia
31,32,la succinilcolina è utilizzata come:,ganglioplegico,vagolitico,bloccante dei recettori alfa adrenergici,bloccante neuromuscolare,bloccante dei recettori muscarinici,D,Area Preclinica 2018,farmacologia
32,33,nella sperimentazione clinica gli 'endpoint' sono,variabili predefinite utilizzate per valutare gli effetti del trattamento.,termini entro i quali è necessario concludere la sperimentazione.,accordi tra lo sponsor e lo sperimentatore.,primitivi e derivati.,variabili che al termine della sperimentazione si dimostrano le migliori per dimostrare gli effetti del trattamento.,A,Area Preclinica 2018,farmacologia
33,34,a quale delle classi di farmaci indicate appartiene l'amiloride?,un diuretico dell'ansa,un risparmiatore di potassio,un diuretico tiazidico,un inibitore dell'anidrasi carbonica,un diuretico osmotico,B,Area Preclinica 2018,farmacologia
34,35,quale tra i seguenti farmaci non è utilizzato nell'ipertiroidismo?,metimazolo,propiltiouracile,carbamazepina,carbimazolo,iodio,C,Area Preclinica 2018,farmacologia
35,36,l'emivita (t ½) di un farmaco è:,direttamente proporzionale alla clearance totale,inversamente proporzionale al volume di distribuzione,direttamente proporzionale al volume di distribuzione,dipende dalla biodisponibilità,può ridursi a dosi tossiche,C,Area Preclinica 2018,farmacologia
36,37,"i farmaci nitroderivati diminuiscono il lavoro del cuore, e quindi la richiesta di ossigeno da parte del miocardio, in quanto:",riducono la frequenza cardiaca,riducono le resistenze vascolari del letto coronarico,riducono il flusso di sangue agli organi periferici,diminuiscono il ritorno di sangue venoso al cuore,riducono la forza di contrazione del miocardio,D,Area Preclinica 2018,farmacologia
37,38,quale di questi farmaci può essere considerato un agente di prima scelta per la terapia ambulatoriale del paziente con scompenso cardiaco?,dobutamina,amrinone,enalapril,digitossina,sodio nitroprussiato,C,Area Preclinica 2018,farmacologia
38,39,in un paziente con ipoacusia e/o vertigini non si dovrebbero somministrare:,penicilline,cefalosporine,aminoglicosidi,carbapenici,macrolidi,C,Area Preclinica 2018,farmacologia
39,40,in un paziente in terapia con simvastatina la contemporanea assunzione di claritromicina puo' determinare :,gastralgia,comparsa di miopatia e rabdomiolisi,disturbi dell'accomodazione,cefalea,vertigini,B,Area Preclinica 2018,farmacologia
40,41,cosa si intende per tolleranza?,necessità di aumentare la dose per ottenere l'effetto terapeutico,necessità impellente di assumere il farmaco,mancanza di effetto anche aumentando la dose,aumento dell'effetto mantenendo la dose immodificata,presenza di polimorfismi a carico del sito target,A,Area Preclinica 2018,farmacologia
41,42,quale tra i seguenti farmaci è controindicato nei pazienti asmatici?,salbuterolo,digossina,propranololo,bretilio,lidocaina,C,Area Preclinica 2018,farmacologia
42,43,quale delle seguenti affermazioni sull'utilizzo degli inibitori della pompa protonica è corretta?,vengono somministrati per os come farmaci attivi,"sono acidi deboli, e quindi si accumulano negli spazi debolmente acidi",hanno un t1/2 di un'ora e quindi una durata d'azione molto breve (2h),sono importanti inbitori dell'attività del citocromo p450,sono indicati nell'ulcera duodenale e gastrica,E,Area Preclinica 2018,farmacologia
43,44,"i benefici, ormai stabiliti, della terapia sostitutiva con estrogeni in donne in menopausa includono una riduzione di tutte le seguenti condizioni, tranne:",osteoporosi,depressione mentale,vaginite atrofica,vampate di calore,ldl (low-density lipoprotein) colesterolo,B,Area Preclinica 2018,farmacologia
44,45,attraverso quale dei seguenti meccanismi d'azione agisce la metformina?,aumenta il numero di recettori dell'insulina,aumenta l'uptake del glucosio da parte dei tessuti,aumenta il rilascio di insulina dal pancreas,aumenta la lipolisi e la glicogenolisi,aumenta la produzione di acido lattico,B,Area Preclinica 2018,farmacologia
45,46,"nello scompenso cardiaco di grado lieve-moderato non fibrillante, il trattamento farmacologico elettivo consiste in:",digitalizzazione con digossina o digitossina,"farmaci ace-inibitori e diuretici, in associazione al beta-bloccante.",diuretici risparmiatori di potassio,"inotropi positivi non digitalici, quali l'amrinone o l'enoximone","agonisti beta-1 selettivi, tipo dobutamina",B,Area Preclinica 2018,farmacologia
46,47,quale degli aggettivi sotto riportati definisce nella maniera più corretta un farmaco che impedisce la crescita batterica?,antimicrobico,batteriostatico,chemioterapico,battericida,antibiotico,B,Area Preclinica 2018,farmacologia
47,48,quale dei seguenti effetti collaterali riconosciuti degli antipsicotici dovrebbe essere trattato tempestivamente?,graduale comparsa dei movimenti ripetitivi di corrugamento labiale,peggioramento della rigidità con un'elevata conta leucocitaria e attività della creatinchinasi,produzione di latte in una donna non-nutrice,bradicinesia,lieve sonnolenza,B,Area Preclinica 2018,farmacologia
48,49,"quale delle seguenti sostanze, contenuta in alcuni alimenti della normale dieta quotidiana, può provocare una crisi ipertensiva in soggetti che assumono inibitori delle mao a?",tiramina,tirosina,acetilcolina,acido oleico,muscarina,A,Area Preclinica 2018,farmacologia
49,50,quale dei seguenti effetti è comune sia all'alendronato che alla calcitonina?,aumenta l'assorbimento del calcio dall'intestino,stimola l'attivazione della vitamina d,inibisce il riassorbimento dell'osso,inibisce l'escrezione del calcio,inibisce il paratormone,C,Area Preclinica 2018,farmacologia
50,51,quale delle seguenti cefalosporine non viene assorbita per os,cefalexina,cefradina,cefaclor,cefadroxil,cefazolina,E,Area Preclinica 2018,farmacologia
51,52,il propiltiouracile:,inibisce la de-iodinazione di t4,stimola la formazione di ormone tiroideo,causa una riduzione di volume della tiroide,inibisce il trasporto attivo dello iodio,determina un accumulo di iodio nella tireoglobulina,A,Area Preclinica 2018,farmacologia
52,53,l'adrenalina è aggiunta agli anestetici locali per,promuovere l'emostasi,stimolare la riparazione locale dei tessuti,ritardare l'assorbimento degli anestetici locali,facilitare la loro penetrazione lungo i rami nervosi,potenziare l'azione di blocco dei canali del na+,C,Area Preclinica 2018,farmacologia
53,54,quale tra i seguenti termini non viene utilizzato per indicare un disturbo causato da un medicinale in un determinato individuo?,adverse drug reaction.,segnale.,evento avverso.,reazione avversa,disturbo iatrogeno.,B,Area Preclinica 2018,farmacologia
54,55,quale dei seguenti farmaci è quello più appropriato da usare nel diabete insipido?,furosemide,triamterene,mannitolo,acetazolamide,idroclorotiazide,E,Area Preclinica 2018,farmacologia
55,56,uno dei farmaci seguenti può essere utilizzato nel trattamento della tachicardia parossistica sopraventricolare.,nifedipina,verapamile,chinidina,amiodarone,propranololo,B,Area Preclinica 2018,farmacologia
56,57,il meccanismo più importante per l'azione gastrolesiva dei fans è rappresentato da:,dal blocco della secrezione di muco gastrico,dalla loro acidità,dalla stimolazione dei recettori dell'istamina a livello della mucosa gastrica,dal blocco della sintesi di prostaglandine,dalla stimolazione della gastrina,D,Area Preclinica 2018,farmacologia
57,58,nel vomito da cinetopatia l'antiemetico da prescrivere è:,un antagonista dei recettori 5-ht3,la metoclopramide,la clorpromazina,la scopolamina,un antagonista dei recettori h2 per l'istamina,D,Area Preclinica 2018,farmacologia
58,59,quale dei seguenti farmaci viene utilizzato per la profilassi della malattia delle membrane ialine?,insulina,corticosteroidi,ormoni tiroidei,androgeni,beta 2 stimolanti,B,Area Preclinica 2018,farmacologia
59,60,l'omeprazolo e' il capostipite di una categoria di farmaci usati nella terapia della malattia peptica. la sua azione farmacologica e' dovuta a:,antagonismo dei recettori h2,blocco della pompa protonica,inibizione di un antiporto na+/h+,attivita' chemioterapica antivirale,attività anticolinergica,B,Area Preclinica 2018,farmacologia
60,61,come è meglio impostare una terapia antiepilettica in una donna gravida in cui non è consigliabile sospendere del tutto l'uso dei farmaci?,"utilizzare una terapia polifarmacologica, in modo da risparmiare sul dosaggio di ogni farmaco",utilizzare solo vie di somministrazione parenterali,utilizzare un unico farmaco al dosaggio più basso possibile,somministrare i farmaci solo per via rettale,"mantenere la terapia precedente, intensificando i controlli ematochimici",C,Area Preclinica 2018,farmacologia
61,62,quale delle seguenti affermazioni riguardo alla digitale non è corretta?,la struttura principale della molecola è un ciclopentanoperidrofenantrene,la sua principale proprietà terapeutica è l'effetto inotropo positivo,ha effetto sulla velocità di conduzione dello stimolo,causa ritenzione di na+,la sua tossicità è aumentata dall'ipopotassiemia,D,Area Preclinica 2018,farmacologia
62,63,quale farmaco non svolge un ruolo primario nella terapia dello scompenso cardiaco congestizio?,i diuretici dell'ansa,la clonidina,gli ace inibitori,i beta-bloccanti,lo spironolattone,B,Area Preclinica 2018,farmacologia
63,64,"i neurolettici tipici (ad es., aloperidolo, clorpromazina etc) possono provocare reazioni extrapiramidali, quali :",sindrome parkinson-simile,"distonie acute (spasmo della lingua, smorfie, torcicollo)",discinesie tardive (movimenti stereotipati e involontari),"sindrome maligna da neurolettici (rara; caratterizzata da catatonia, febbre alta, ipertensione)",tutte le risposte indicate,E,Area Preclinica 2018,farmacologia
64,65,"tutte le seguenti condizioni rientrano tra le indicazioni alla somministrazione di iodio, tranne:",contaminazione accidentale con isotopi radioattivi,crisi tireotossica,tiroidite di hashimoto,preparazione ad interventi chirurgici sulla tiroide,gozzo endemico,C,Area Preclinica 2018,farmacologia
65,66,in caso di shock anafilattico occorre ricorrere rapidamente alla somministrazione di:,cardiotonici,adrenalina e cortisonici,diuretici,dopamina e antistaminici,ansiolitici,B,Area Preclinica 2018,farmacologia
66,67,i bersagli molecolari di un farmaco sono costituiti da:,recettori,enzimi,acidi nucleici,molecole di trasporto (cotrasportatori e antitrasportatori),tutte le risposte indicate,E,Area Preclinica 2018,farmacologia
67,68,quale dei seguenti farmaci è il più efficace nel trattare la nausea e il vomito associati alla malattia di meniere?,ondansetrone,proclorperazina,difenidramina,scopolamina,cisapride,C,Area Preclinica 2018,farmacologia
68,69,il meccanismo di azione dei farmaci antipsicotici consiste nel blocco dei siti recettoriali di uno dei seguenti neurotrasmettitori:,istamina,dopamina,acetilcolina,adrenalina,gaba,B,Area Preclinica 2018,farmacologia
69,70,"quale cefalosporina, delle sottoelencate, ha l'emivita più lunga?",cefamandolo,cefsulodin,ceftriaxone,cefonicid,cefatrizina,C,Area Preclinica 2018,farmacologia
70,71,"tutti i seguenti farmaci sono antitubercolari, tranne:",isoniazide,rifampicina,etambutolo,azitromicina,pirazinamide,D,Area Preclinica 2018,farmacologia
71,72,in un paziente con asma bronchiale o bpco il farmaco da usarsi per l'angina pectoris è:,un beta-bloccante,verapamil,warfarin,aspirina,amlodipina,B,Area Preclinica 2018,farmacologia
72,73,in un soggetto affetto da grave ipertrofia prostatica è controindicato l'uso:,degli antidepressivi triciclici,dei barbiturici,delle benzodiazepine,degli antibiotici,dei beta-bloccanti,A,Area Preclinica 2018,farmacologia
73,74,la tossicità cardiaca limita l'utilità clinica di quale dei seguenti antitumorali:,actinomicina d,doxorubicina,bleomicina,cisplatinum,vincristina,B,Area Preclinica 2018,farmacologia
74,75,quale dei seguenti farmaci anti-diarroici produce minori effetti collaterali legati al sistema nervoso centrale?,codeina,loperamide,morfina,difenossilato,paracodeina,B,Area Preclinica 2018,farmacologia
75,76,"in caso di meningite da streptococco pneumoniae, quale dei seguenti antibiotici è quello più indicato?",ossitetraciclina,fosfomicina,gentamicina,cefotaxime,clindamicina,D,Area Preclinica 2018,farmacologia
76,77,l'associazione di trimetoprim e sulfametossazolo è efficace contro quale delle seguenti infezioni opportuniste nei pazienti con aids?,herpes simplex disseminato.,meningite criptococcica.,pneumocistosi e toxoplasmosi.,candidosi orale.,tubercolosi.,C,Area Preclinica 2018,farmacologia
77,78,quale tra i seguenti fattori non influenza il trasporto placentare di un farmaco?,flusso sanguigno placentare,peso molecolare,idrosolubilità del farmaco,liposolubilità del farmaco,ph fetale,C,Area Preclinica 2018,farmacologia
78,79,il principale effetto collaterale della terapia con ferro e' ?,disturbi gastrointestinale,tosse,ipertensione,sonnolenza,alterazione della diuresi,A,Area Preclinica 2018,farmacologia
79,80,nella terapia del dolore cronico le linee guida indicano:,morfina per via sottocutanea,morfina per via orale,buprenorfina,la sequenza fans - oppioide debole - oppioide forte,un fans,D,Area Preclinica 2018,farmacologia
80,81,l'indice terapeutico dei glicosidi digitalici è mediamente 3; ciò significa che:,la dl50 è tre volte superiore alla de50,la de50 è tre volte superiore alla dl50,la differenza tra de50 e dl50 è 3,la differenza tra dl50 e de50 è 3,nessuna delle risposte indicate è esatta,A,Area Preclinica 2018,farmacologia
81,82,quale tra i seguenti farmaci non è utilizzato nella terapia dell'asma?,terbutalina,teofillina,cromoglicato,neostigmina,prednisone,D,Area Preclinica 2018,farmacologia
82,83,quale tra i seguenti farmaci non ha potenziale nefrotossico?,streptomicina,amfotericina b,cis-platino,vancomicina,ciprofloxacina,E,Area Preclinica 2018,farmacologia
83,84,quale dei seguenti farmaci antiipertensivi può causare tosse?,antagonisti alpha-1 adrenergici,sartani,ace inibitori,calcio-antagonisti,nitroderivati,C,Area Preclinica 2018,farmacologia
84,85,indicare quale delle seguenti condizioni costituisce una controindicazione per l'uso di metoclopramide:,diabete,patologie ansiose,nausea e vomito da chemioterapia,malattia di parkinson,artrite reumatoide,D,Area Preclinica 2018,farmacologia
85,86,qual è l'antipiretico di scelta per una sindrome febbrile di probabile natura virale in un bambino di 5 anni?,acido acetil salicilico,piroxicam,fenilbutazone,betametasone,paracetamolo,E,Area Preclinica 2018,farmacologia
86,87,la meperidina è un farmaco:,analgesico non stupefacente,analgesico stupefacente,antinfiammatorio analgesico,antistaminico,antialdosteronico,B,Area Preclinica 2018,farmacologia
87,88,la nitroglicerina:,dilata prevalentemente le arteriole,dilata prevalentemente le vene,aumenta il postcarico,non provoca tolleranza,non deve essere associata ad un beta-bloccante,B,Area Preclinica 2018,farmacologia
88,89,quale tra i seguenti farmaci determina il blocco dei recettori alfa-adrenergici e riduce la pressione arteriosa?,chinidina,mazindolo,noradrenalina,prazosina,fenilefrina,D,Area Preclinica 2018,farmacologia
89,90,quale dei seguenti effetti dei fans è ridotto nel caso degli inibitori selettivi della cox-2?,efficacia anti-infiammatoria,rischio di sanguinamento gastro-intestinale,rischio di insufficienza renale acuta,rischio di nefropatia da analgesici,rischio di reazioni idiosincrasiche,B,Area Preclinica 2018,farmacologia
90,91,quale tra i seguenti farmaci non è utilizzato nella terapia dello scopenso cardiaco cronico?,digossina,ace-inibitori,diuretici dell'ansa,diuretici risparmiatori di potassio,salbutamolo,E,Area Preclinica 2018,farmacologia
91,92,l'acido clavulanico è importante perchè:,penetra facilmente nei gram -,e' specifico per i gram +,e' un inibitore della transpeptidasi del cell-wall,inattiva le beta-lattamasi batteriche,ha uno spettro d'azione penicillino-simile,D,Area Preclinica 2018,farmacologia
92,93,quale dei seguenti farmaci è il più efficace nel trattare la nausea e il vomito associati a cinetosi?,ondansetrone,proclorperazina,difenilidramina,scopolamina,cisapride,D,Area Preclinica 2018,farmacologia
93,94,quale dei seguenti effetti collaterali è caratteristico della terapia con ampicillina?,stipsi,iponatriemia,esantema maculo papulare,anemia emolitica,nefrite,C,Area Preclinica 2018,farmacologia
94,95,la streptomicina si puo' efficacemente associare alla ampicillina nelle infezioni da (indicare la risposta corretta):,salmonella,streptococcus faecalis,mycobacterium tubercolosis,treponema,chlamydia,B,Area Preclinica 2018,farmacologia
95,96,quale tra i seguenti farmaci può causare sindrome muscarinica:,inibitori delle colinesterasi,inibitori delle comt,curari,ganglioplegici,atropina,A,Area Preclinica 2018,farmacologia
96,97,quale tra i seguenti tipi cellulari rappresenta il principale bersaglio dell'azione farmacologica della ciclosporina e del tacrolimus?,cellule dendritiche,linfociti b,linfociti t,macrofagi,cellule nk,C,Area Preclinica 2018,farmacologia
97,98,indicare quella corretta tra le seguenti affermazioni riguardanti la farmacogenomica,consiste nello studio dei caratteri ereditari e della loro variabilità da un individuo all'altro,consiste nello studio della risposta ai farmaci nei diversi ceppi etnici,consiste nello studio del genoma (dna) e dei suoi prodotti (rna),consiste nello studio dei fattori genetici ereditari che influiscono sulla risposta individuale ai farmaci (efficacia e tollerabilità) creando differenze tra un individuo e un altro,consiste nella produzione di nuovi farmaci con tecniche di ingegneria genetica.,D,Area Preclinica 2018,farmacologia
98,99,"affinché compaia l'effetto terapeutico degli antidepressivi triciclici, è necessario che dall'assunzione del farmaco trascorrano:",3 minuti,3 ore,1 giorno,2-3 settimane,2 mesi,D,Area Preclinica 2018,farmacologia
99,100,microorganismi resistenti ad un determinato chemioterapico:,possono essere resistenti anche ad altri chemioterapici specie se appartenenti alla stessa categoria,"sono dipendenti, per la loro moltiplicazione, dalla presenza nell'organismo di quel chemioterapico","perdono, nella maggior parte dei casi, il loro potere patogeno",perdono generalmente tale resistenza durante la fase logaritmica di sviluppo,rispondono solo a trattamenti più prolungati con lo stesso chemioterapico,A,Area Preclinica 2018,farmacologia
100,101,il maggior vantaggio della fenossimetil penicillina nei confronti della benzil penicillina è che:,e' più resistente alla penicillinasi,e' più rapidamente escreta con le urine,si lega alle proteine sieriche e dei tessuti,e' più resistente in ambiente acido,ha un più largo spettro di azione,D,Area Preclinica 2018,farmacologia
101,102,i seguenti sono potenziali effetti collaterali dei diuretici tiazidici:,"ipokalemia, iperglicemia, iperlipidemia","ipokalemia, ototossicità, ipercalcemia","iperkalemia, alcalosi, nausea/vomito","aumento dell'azoto ureico plasmatico, iperkalemia, acidosi metabolica","ipermagnesemia, ipercalcemia, febbre",A,Area Preclinica 2018,farmacologia
102,103,l' associazione di un sulfamidico e pirimetamina e' indicata per il trattamento di (indicare l' affermazione corretta):,infezioni da trichomonas vaginalis,malaria da plasmodium falciparum resistente alla clorochina,infezioni da histoplasma capsulatum,infezioni da entamoeba histolytica,infezioni da candida albicans,B,Area Preclinica 2018,farmacologia
103,104,per effetto placebo di un farmaco si intende :,qualsiasi effetto terapeutico o indesiderato che non sia dovuto alle azioni farmacologiche che il farmaco possiede,l'effetto terapeutico principale che il farmaco è capace di produrre,qualsiasi effetto che non sia in grado di produrre un miglioramento terapeutico,qualsiasi effetto del farmaco che non sia dannoso per il paziente,gli effetti farmacologici estranei all'indicazione principale del farmaco,A,Area Preclinica 2018,farmacologia
104,105,l'acido acetilsalicilico presenta effetti antiaggreganti piastrinici perché:,inibisce irreversibilmente la cicloossigenasi-1 a livello dell'endotelio,antagonizza il recettore dell'adp a livello piastrinico,"inibisce la cicloossigenasi-1 piastrinica, soprattutto a livello del circolo portale",previene il danno endoteliale nel paziente ipercolesterolemico,aumenta la produzione di prostacicline dall'endotelio,C,Area Preclinica 2018,farmacologia
105,106,un diabetico anziano insulino-dipendente deve ricevere un trattamento con beta-bloccante per ipertensione e angina. quale fra i seguenti potrebbe essere la scelta più accettabile?,propranololo,pindololo,atenololo,nadololo,timololo,C,Area Preclinica 2018,farmacologia
106,107,i farmaci della classe dei chinoloni:,sono impiegati esclusivamente nella terapia delle infezioni urinarie,sono inibitori della sintesi proteica delle cellule batteriche,"sono inibitori della dna girasi, un enzima simile alla topoisomerasi ii eucariota",non sono soggetti a fenomeni di resistenza batterica noti,sono impiegati solo in associazione ad altri farmaci antibatterici,C,Area Preclinica 2018,farmacologia
107,108,una delle seguenti penicilline è beta lattamasi resistente. indicare quale,amoxicillina,meticillina,piperacillina,ticarcillina,feneticillina,B,Area Preclinica 2018,farmacologia
108,109,i pazienti dislipidemici che non hanno beneficio da terapia con le statine possono essere:,soggetti che assumono contemporaneamente derivati dell'acido fibrico,pazienti con diabete mellito,soggetti con dislipidemia caratterizzata da alti livelli di ldl,pazienti che non esprimono recettori per le ldl a livello epatico (dislipidemia familiare),pazienti con bassi livelli di hdl,D,Area Preclinica 2018,farmacologia
109,110,"un paziente di 72 anni con parkinsonismo presenta piedi edematosi di color rossastro, sensibili, molto dolorosi. questi sintomi possono scomparire in pochi giorni se verrà detto al paziente di sospendere uno dei seguenti farmaci che sta eventualmente assumendo:",levodopa,selegilina,bromocriptina,benztropina,amantadina,C,Area Preclinica 2018,farmacologia
110,111,"indicare quale, tra le seguenti affermazioni sui diuretici, è corretta:","hanno un ruolo terapeutico fondamentale negli edemi cardiaci, nell'ascite, nell'insufficienza renale cronica e nella sindrome nefrosica",non trovano alcun impiego nello scompenso ventricolare sinistro acuto,sono efficaci solo se somministrati per via parenterale,devono essere somministrati per via parenterale per mantenere l'effetto diuretico quando nei loro confronti compaia resistenza,quando sono somministrati per via orale in dosi generose combattono efficacemente l'edema polmonare da scompenso ventricolare sinistro acuto,A,Area Preclinica 2018,farmacologia
