id,question,A,B,C,D,E,answer,category,macro category
43,Quale delle seguenti affermazioni sull'utilizzo degli inibitori della pompa protonica è corretta?,Vengono somministrati per os come farmaci attivi,"Sono acidi deboli, e quindi si accumulano negli spazi debolmente acidi",Hanno un t1/2 di un'ora e quindi una durata d'azione molto breve (2h),Sono importanti inbitori dell'attività del citocromo P450,Sono indicati nell'ulcera duodenale e gastrica,E,Area Preclinica 2016,farmacologia
44,"I benefici, ormai stabiliti, della terapia sostitutiva con estrogeni in donne in menopausa includono una riduzione di tutte le seguenti condizioni, tranne:",osteoporosi,depressione mentale,vaginite atrofica,vampate di calore,LDL (low-density lipoprotein) colesterolo,B,Area Preclinica 2016,farmacologia
45,Attraverso quale dei seguenti meccanismi d'azione agisce la Metformina?,Aumenta il numero di recettori dell'insulina,Aumenta l'uptake  del glucosio da parte dei tessuti,Aumenta il rilascio di insulina dal pancreas,Aumenta la lipolisi e la glicogenolisi,Aumenta la produzione di acido lattico,B,Area Preclinica 2016,farmacologia
46,"Nello scompenso cardiaco di grado lieve-moderato non fibrillante, il trattamento farmacologico elettivo consiste in:",digitalizzazione con digossina o digitossina,"farmaci ACE-inibitori e diuretici, in associazione al beta-bloccante.",diuretici risparmiatori di potassio,"inotropi positivi non digitalici, quali l'amrinone o l'enoximone","agonisti beta-1 selettivi, tipo dobutamina",B,Area Preclinica 2016,farmacologia
47,Quale degli aggettivi sotto riportati definisce nella maniera più corretta un farmaco che impedisce la crescita batterica?,Antimicrobico,Batteriostatico,Chemioterapico,Battericida,Antibiotico,B,Area Preclinica 2016,farmacologia
48,"Quale dei seguenti effetti collaterali riconosciuti degli antipsicotici dovrebbe essere trattato tempestivamente? AREA PRE-CLINICA Pag. 9/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Graduale comparsa dei movimenti ripetitivi di corrugamento labiale,Peggioramento della rigidità con un'elevata conta leucocitaria e attività della creatinchinasi,Produzione di latte in una donna non-nutrice,Bradicinesia,Lieve sonnolenza,B,Area Preclinica 2016,farmacologia
49,"Quale delle seguenti sostanze, contenuta in alcuni alimenti della normale dieta quotidiana, può provocare una crisi ipertensiva in soggetti che assumono inibitori delle MAO A?",tiramina,tirosina,acetilcolina,acido oleico,muscarina,A,Area Preclinica 2016,farmacologia
50,Quale dei seguenti effetti è comune sia all'alendronato che alla calcitonina?,Aumenta l'assorbimento del calcio dall'intestino,Stimola l'attivazione della vitamina D,Inibisce il riassorbimento dell'osso,Inibisce l'escrezione del calcio,Inibisce il paratormone,C,Area Preclinica 2016,farmacologia
51,Quale delle seguenti cefalosporine NON viene assorbita per os,Cefalexina,Cefradina,Cefaclor,Cefadroxil,Cefazolina,E,Area Preclinica 2016,farmacologia
52,Il propiltiouracile:,Inibisce la de-iodinazione di T4,Stimola la formazione di ormone tiroideo,Causa una riduzione di volume della tiroide,Inibisce il trasporto attivo dello iodio,Determina un accumulo di iodio nella tireoglobulina,A,Area Preclinica 2016,farmacologia
53,L'adrenalina è aggiunta agli anestetici locali per,Promuovere l'emostasi,Stimolare la riparazione locale dei tessuti,Ritardare l'assorbimento degli anestetici locali,Facilitare la loro penetrazione lungo i rami nervosi,Potenziare l'azione di blocco dei canali del Na+,C,Area Preclinica 2016,farmacologia
54,"Quale tra i seguenti termini NON viene utilizzato per indicare un disturbo causato da un medicinale in un determinato individuo? AREA PRE-CLINICA Pag. 10/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",adverse drug reaction.,segnale.,evento avverso.,reazione avversa,disturbo iatrogeno.,B,Area Preclinica 2016,farmacologia
55,Quale dei seguenti farmaci è quello più appropriato da usare nel Diabete Insipido?,Furosemide,Triamterene,Mannitolo,Acetazolamide,Idroclorotiazide,E,Area Preclinica 2016,farmacologia
56,Uno dei farmaci seguenti può essere utilizzato nel trattamento della tachicardia parossistica sopraventricolare.,Nifedipina,Verapamile,Chinidina,Amiodarone,Propranololo,B,Area Preclinica 2016,farmacologia
57,Il meccanismo più importante per l'azione gastrolesiva dei FANS è rappresentato da:,dal blocco della secrezione di muco gastrico,dalla loro acidità,dalla stimolazione dei recettori dell'istamina a livello della mucosa gastrica,dal blocco della sintesi di prostaglandine,dalla stimolazione della gastrina,D,Area Preclinica 2016,farmacologia
58,Nel vomito da cinetopatia l'antiemetico da prescrivere è:,un antagonista dei recettori 5-HT3,la metoclopramide,la clorpromazina,la scopolamina,un antagonista dei recettori H2 per l'istamina,D,Area Preclinica 2016,farmacologia
59,Quale dei seguenti farmaci viene utilizzato per la profilassi della malattia delle membrane ialine?,insulina,corticosteroidi,ormoni tiroidei,androgeni,beta 2 stimolanti,B,Area Preclinica 2016,farmacologia
60,"L'omeprazolo e' il capostipite di una categoria di farmaci usati nella terapia della malattia peptica. La sua azione farmacologica e' dovuta a: AREA PRE-CLINICA Pag. 11/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Antagonismo dei recettori H2,Blocco della pompa protonica,Inibizione di un antiporto Na+/H+,Attivita' chemioterapica antivirale,Attività anticolinergica,B,Area Preclinica 2016,farmacologia
61,"Come è meglio impostare una terapia antiepilettica in una donna gravida in cui non è consigliabile sospendere del tutto l'uso dei farmaci?","Utilizzare una terapia polifarmacologica, in modo da risparmiare sul dosaggio di ogni farmaco",Utilizzare solo vie di somministrazione parenterali,Utilizzare un unico farmaco al dosaggio più basso possibile,Somministrare i farmaci solo per via rettale,"Mantenere la terapia precedente, intensificando i controlli ematochimici",C,Area Preclinica 2016,farmacologia
62,Quale delle seguenti affermazioni riguardo alla digitale NON è corretta?,la struttura principale della molecola è un ciclopentanoperidrofenantrene,la sua principale proprietà terapeutica è l'effetto inotropo positivo,ha effetto sulla velocità di conduzione dello stimolo,causa ritenzione di Na+,la sua tossicità è aumentata dall'ipopotassiemia,D,Area Preclinica 2016,farmacologia
63,Quale farmaco NON svolge un ruolo primario nella terapia dello scompenso cardiaco congestizio?,i diuretici dell'ansa,la clonidina,gli ACE inibitori,i beta-bloccanti,lo spironolattone,B,Area Preclinica 2016,farmacologia
64,"I neurolettici tipici (ad es., aloperidolo, clorpromazina etc) possono provocare reazioni extrapiramidali, quali :",sindrome Parkinson-simile,"distonie acute (spasmo della lingua, smorfie, torcicollo)",discinesie tardive (movimenti stereotipati e involontari),"sindrome maligna da neurolettici (rara; caratterizzata da catatonia, febbre alta, ipertensione)",tutte le risposte indicate,E,Area Preclinica 2016,farmacologia
65,"Tutte le seguenti condizioni rientrano tra le indicazioni alla somministrazione di iodio, tranne:",Contaminazione accidentale con isotopi radioattivi,Crisi tireotossica,Tiroidite di Hashimoto,Preparazione ad interventi chirurgici sulla tiroide,Gozzo endemico,C,Area Preclinica 2016,farmacologia
66,"In caso di shock anafilattico occorre ricorrere rapidamente alla somministrazione di: AREA PRE-CLINICA Pag. 12/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Cardiotonici,Adrenalina e cortisonici,Diuretici,Dopamina e antistaminici,Ansiolitici,B,Area Preclinica 2016,farmacologia
67,I bersagli molecolari di un farmaco sono costituiti da:,recettori,enzimi,acidi nucleici,molecole di trasporto (cotrasportatori e antitrasportatori),tutte le risposte indicate,E,Area Preclinica 2016,farmacologia
68,Quale dei seguenti farmaci è il più efficace nel trattare la nausea e il vomito associati alla malattia di Meniere?,Ondansetrone,Proclorperazina,Difenidramina,Scopolamina,Cisapride,C,Area Preclinica 2016,farmacologia
69,Il meccanismo di azione dei farmaci antipsicotici consiste nel blocco dei siti recettoriali di uno dei seguenti neurotrasmettitori:,istamina,dopamina,acetilcolina,adrenalina,GABA,B,Area Preclinica 2016,farmacologia
70,"Quale cefalosporina, delle sottoelencate, ha l'emivita più lunga?",Cefamandolo,Cefsulodin,Ceftriaxone,Cefonicid,Cefatrizina,C,Area Preclinica 2016,farmacologia
71,"Tutti i seguenti farmaci sono antitubercolari, tranne:",Isoniazide,Rifampicina,Etambutolo,Azitromicina,pirazinamide,D,Area Preclinica 2016,farmacologia
72,"In un paziente con asma bronchiale o BPCO il farmaco da usarsi per l'angina pectoris è: AREA PRE-CLINICA Pag. 13/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",un beta-bloccante,verapamil,warfarin,aspirina,amlodipina,B,Area Preclinica 2016,farmacologia
73,In un soggetto affetto da grave ipertrofia prostatica è controindicato l'uso:,degli antidepressivi triciclici,dei barbiturici,delle benzodiazepine,degli antibiotici,dei beta-bloccanti,A,Area Preclinica 2016,farmacologia
74,La tossicità cardiaca limita l'utilità clinica di quale dei seguenti antitumorali:,Actinomicina D,Doxorubicina,Bleomicina,Cisplatinum,Vincristina,B,Area Preclinica 2016,farmacologia
75,Quale dei seguenti farmaci anti-diarroici produce minori effetti collaterali legati al sistema nervoso centrale?,Codeina,Loperamide,Morfina,Difenossilato,Paracodeina,B,Area Preclinica 2016,farmacologia
76,"In caso di meningite da streptococco pneumoniae, quale dei seguenti antibiotici è quello più indicato?",Ossitetraciclina,Fosfomicina,Gentamicina,Cefotaxime,Clindamicina,D,Area Preclinica 2016,farmacologia
77,L'associazione di trimetoprim e sulfametossazolo è efficace contro quale delle seguenti infezioni opportuniste nei pazienti con AIDS?,Herpes simplex disseminato.,Meningite criptococcica.,Pneumocistosi e Toxoplasmosi.,Candidosi orale.,Tubercolosi.,C,Area Preclinica 2016,farmacologia
78,"Quale tra i seguenti fattori NON influenza il trasporto placentare di un farmaco? AREA PRE-CLINICA Pag. 14/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Flusso sanguigno placentare,Peso molecolare,Idrosolubilità del farmaco,Liposolubilità del farmaco,pH fetale,C,Area Preclinica 2016,farmacologia
79,Il principale effetto collaterale della terapia con ferro e' ?,disturbi gastrointestinale,tosse,ipertensione,sonnolenza,alterazione della diuresi,A,Area Preclinica 2016,farmacologia
80,Nella terapia del dolore cronico le linee guida indicano:,morfina per via sottocutanea,morfina per via orale,buprenorfina,la sequenza FANS - oppioide debole - oppioide forte,un FANS,D,Area Preclinica 2016,farmacologia
81,L'indice terapeutico dei glicosidi digitalici è mediamente 3; ciò significa che:,La DL50 è tre volte superiore alla DE50,La DE50 è tre volte superiore alla DL50,La differenza tra DE50 e DL50 è 3,La differenza tra DL50 e DE50 è 3,Nessuna delle risposte indicate è esatta,A,Area Preclinica 2016,farmacologia
82,Quale tra i seguenti farmaci NON è utilizzato nella terapia dell'asma?,terbutalina,teofillina,cromoglicato,neostigmina,prednisone,D,Area Preclinica 2016,farmacologia
83,Quale tra i seguenti farmaci NON ha potenziale nefrotossico?,streptomicina,amfotericina B,cis-platino,vancomicina,ciprofloxacina,E,Area Preclinica 2016,farmacologia
84,"Quale dei seguenti farmaci antiipertensivi può causare tosse? AREA PRE-CLINICA Pag. 15/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Antagonisti alpha-1 adrenergici,Sartani,ACE inibitori,Calcio-antagonisti,Nitroderivati,C,Area Preclinica 2016,farmacologia
85,Indicare quale delle seguenti condizioni costituisce una controindicazione per l'uso di metoclopramide:,Diabete,Patologie ansiose,Nausea e vomito da chemioterapia,Malattia di Parkinson,Artrite reumatoide,D,Area Preclinica 2016,farmacologia
86,Qual è l'antipiretico di scelta per una sindrome febbrile di probabile natura virale in un bambino di 5 anni?,Acido acetil salicilico,Piroxicam,Fenilbutazone,Betametasone,Paracetamolo,E,Area Preclinica 2016,farmacologia
87,La meperidina è un farmaco:,Analgesico non stupefacente,Analgesico stupefacente,Antinfiammatorio analgesico,Antistaminico,Antialdosteronico,B,Area Preclinica 2016,farmacologia
88,La nitroglicerina:,dilata prevalentemente le arteriole,dilata prevalentemente le vene,aumenta il postcarico,non provoca tolleranza,non deve essere associata ad un beta-bloccante,B,Area Preclinica 2016,farmacologia
89,Quale tra i seguenti farmaci determina il blocco dei recettori alfa-adrenergici e riduce la pressione arteriosa?,chinidina,mazindolo,noradrenalina,prazosina,fenilefrina,D,Area Preclinica 2016,farmacologia
90,"Quale dei seguenti effetti dei FANS è ridotto nel caso degli inibitori selettivi della COX-2? AREA PRE-CLINICA Pag. 16/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Efficacia anti-infiammatoria,Rischio di sanguinamento gastro-intestinale,Rischio di insufficienza renale acuta,Rischio di nefropatia da analgesici,Rischio di reazioni idiosincrasiche,B,Area Preclinica 2016,farmacologia
91,Quale tra i seguenti farmaci NON è utilizzato nella terapia dello scopenso cardiaco cronico?,digossina,ACE-inibitori,Diuretici dell'ansa,Diuretici risparmiatori di potassio,salbutamolo,E,Area Preclinica 2016,farmacologia
92,L'acido clavulanico è importante perchè:,Penetra facilmente nei Gram -,E' specifico per i Gram +,E' un inibitore della transpeptidasi del cell-wall,Inattiva le beta-lattamasi batteriche,Ha uno spettro d'azione penicillino-simile,D,Area Preclinica 2016,farmacologia
93,Quale dei seguenti farmaci è il più efficace nel trattare la nausea e il vomito associati a  cinetosi?,Ondansetrone,Proclorperazina,Difenilidramina,Scopolamina,Cisapride,D,Area Preclinica 2016,farmacologia
94,Quale dei seguenti effetti collaterali è caratteristico della terapia con ampicillina?,Stipsi,Iponatriemia,Esantema maculo papulare,Anemia emolitica,Nefrite,C,Area Preclinica 2016,farmacologia
95,La streptomicina si puo' efficacemente associare alla ampicillina nelle infezioni da (indicare la risposta corretta):,salmonella,streptococcus faecalis,mycobacterium tubercolosis,treponema,chlamydia,B,Area Preclinica 2016,farmacologia
96,"Quale tra i seguenti farmaci può causare sindrome muscarinica: AREA PRE-CLINICA Pag. 17/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Inibitori delle colinesterasi,Inibitori delle COMT,Curari,Ganglioplegici,Atropina,A,Area Preclinica 2016,farmacologia
97,Quale tra i seguenti tipi cellulari rappresenta il principale bersaglio dell'azione farmacologica della ciclosporina e del tacrolimus?,cellule dendritiche,linfociti B,linfociti T,macrofagi,cellule NK,C,Area Preclinica 2016,farmacologia
98,Indicare quella corretta tra le seguenti affermazioni riguardanti la farmacogenomica,consiste nello studio dei caratteri ereditari e della loro variabilità da un individuo all'altro,consiste nello studio della risposta ai farmaci nei diversi ceppi etnici,consiste nello studio del genoma (DNA) e dei suoi prodotti (RNA),consiste nello studio dei fattori genetici ereditari che influiscono sulla risposta individuale ai farmaci (efficacia e tollerabilità) creando differenze tra un individuo e un altro,consiste nella produzione di nuovi farmaci con tecniche di ingegneria genetica.,D,Area Preclinica 2016,farmacologia
99,"Affinché compaia l'effetto terapeutico degli antidepressivi triciclici, è necessario che dall'assunzione del farmaco trascorrano:",3 minuti,3 ore,1 giorno,2-3 settimane,2 mesi,D,Area Preclinica 2016,farmacologia
100,Microorganismi resistenti ad un determinato chemioterapico:,Possono essere resistenti anche ad altri chemioterapici specie se appartenenti alla stessa categoria,"Sono dipendenti, per la loro moltiplicazione, dalla presenza nell'organismo di quel chemioterapico","Perdono, nella maggior parte dei casi, il loro potere patogeno",Perdono generalmente tale resistenza durante la fase logaritmica di sviluppo,rispondono solo a trattamenti più prolungati con lo stesso chemioterapico,A,Area Preclinica 2016,farmacologia
101,Il maggior vantaggio della fenossimetil penicillina nei confronti della benzil penicillina è che:,E' più resistente alla penicillinasi,E' più rapidamente escreta con le urine,Si lega alle proteine sieriche e dei tessuti,E' più resistente in ambiente acido,Ha un più largo spettro di azione,D,Area Preclinica 2016,farmacologia
102,"I seguenti sono potenziali effetti collaterali dei diuretici tiazidici: AREA PRE-CLINICA Pag. 18/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,","Ipokalemia, iperglicemia, iperlipidemia","Ipokalemia, ototossicità, ipercalcemia","Iperkalemia, alcalosi, nausea/vomito","Aumento dell'azoto ureico plasmatico, iperkalemia, acidosi metabolica","Ipermagnesemia, ipercalcemia, febbre",A,Area Preclinica 2016,farmacologia
103,L' associazione di un sulfamidico e pirimetamina e' indicata per il trattamento  di (indicare l' affermazione corretta):,infezioni da Trichomonas vaginalis,malaria da Plasmodium falciparum resistente alla clorochina,infezioni da Histoplasma Capsulatum,infezioni da Entamoeba Histolytica,infezioni da Candida Albicans,B,Area Preclinica 2016,farmacologia
104,Per effetto placebo di un farmaco si intende :,Qualsiasi effetto terapeutico o indesiderato che non sia dovuto alle azioni farmacologiche che il farmaco possiede,L'effetto terapeutico principale che il farmaco è capace di produrre,Qualsiasi effetto che non sia in grado di produrre un miglioramento terapeutico,Qualsiasi effetto del farmaco che non sia dannoso per il paziente,Gli effetti farmacologici estranei all'indicazione principale del farmaco,A,Area Preclinica 2016,farmacologia
105,L'acido acetilsalicilico presenta effetti antiaggreganti piastrinici perché:,inibisce irreversibilmente la cicloossigenasi-1 a livello dell'endotelio,antagonizza il recettore dell'ADP a livello piastrinico,"inibisce la cicloossigenasi-1 piastrinica, soprattutto a livello del circolo portale",previene il danno endoteliale nel paziente ipercolesterolemico,aumenta la produzione di prostacicline dall'endotelio,C,Area Preclinica 2016,farmacologia
