ID,Question,A,B,C,D,E,Answer
25,"Qualè è il rischio di danno vascolare associato alle principali dislipidemie
aterogene?",,"Ipercolesterolemia poligenica > Iperlipemia familiare combinata >
ipoalfalipoproteinemia (basso H",L' ipoalfaliproteinemia è la dislipidemia più aterogena in assoluto,"Nessuna di queste, perchè le dislipidemie non sono dei fattori di rischio
cardiovascolari maggiori",Sono tutte ugualmente in grado di causare danno vascolare,E
26,La polimialgia reumatica si associa più frequentemente a,,vasculite intestinale,eritema malare,fenomeno di Raynaud,aftosi orale,E
27,"Una giovane donna di 31 anni riferisce una storia di 6 mesi caratterizzata da
disfagia per solidi e liquidi e dolore ricorrente toracico retrosternale.
Riferisce la sensazione che il cibo le si blocchi a livello del giugulo. Un'
E*GDS on ha mostrato stenosi o reperti compatibili con la diagnosi di
esofagite. Qual è la diagnosi più probabile?",calasia,Pseudoacalasia,alcolosi della colecisti,Malattia da reflusso gastro-esofageo senza esofagite,,E
28,Il menisco mediale del ginocchio è a forma:,,di O,di farfalla,discoide,triangolare,E
29,"Quale di queste condizioni si ritrova più frequentemente associate alla
FCHL ( Iperlipemia Familiare Combinata)?",,Ipertensione,Insulino-resistenza,Tutte le precedenti,Nessuna delle precedenti,E
30,La biopsia epatica è controindicata in caso di:,,Severo deficit della coagulazione,Tosse squassante,Ittero da stasi protratto,Tutte le precedenti,E
31,Quali sono i vasi che sviluppano meno lesioni aterosclerotiche:,,arterie coronarie intramurali,carotide,arteria femorale superficiale,aorta toracica,E
32,I primi cugini sono parenti di,,2o grado,3o grado,4o grado,5o grado,E
33,"Le concentrazioni sieriche di BNP nei pazienti con sindrome coronarica
acuta:",,sono correlate con il rischio di scompenso cardiaco,sono correlate con il rischio di infarto miocardico,Nessuna delle risposte è esatta,Tutte le risposte sono esatte,E
34,La terapia con statine è efficace nel ridurre in modo significativo gli eventi,,,,,,
35,Farmaci più comunemente utilizzati nel trattamento della iperkaliemia:,,,alcio gluconato ev,Magnesio ev,Soluzione fisiologica ev,E
36,"Quale delle seguenti non è una complicanza dell'aneurisma dell'aorta
addominale?",,,ompressione sulle strutture adiacenti,Trombosi,Insufficienza renale cronica,E
37,Quale è il corretto ordine di densità delle lipoproteine?,,L,VL,Hanno tutte la stessa densità,"Non è possibile separale per densità, ma solo per carica elettrica",E
38,Quale reperto fisico non e' caratteristico della cardiomiopatia dilatativi:,,rantoli polmonari,"impulso ventricolare sinistro dislocato medialmente, diffuso",rigurgito mitralico,galoppo con quarto tono,E
39,Per assuefazione a una sostanza si intende:,,Una causa di astinenza,Una sensazione puramente psichica di abitudine a fattori stressanti,Il contrario di tolleranza,Un sinonimo di dipendenza,E
40,Nell'atto deglutitorio la fase volontaria è quella:,,Faringea,,Gastrica,Laringea,E
41,In presenza di ipoventilazione la differenza alveolo-arteriosa della PO2 è:,lmeno triplicata,Ridotta,,ue volte i valori di base,,E
42,Si definisce innesto:,,"il trasferimento di un tessuto privato del suo apporto vascolare da un sito
donatore ad uno ricevente, senza anastomosi microchirurgica",il trasferimento di un tessuto da una sede corporea ad una adiacente,"il trasferimento di un tessuto privato del suo apporto vascolare da un sito
donatore ad uno ricevente, con anastomosi microchirurgica","il trasferimento di un tessuto da una sede corporea ad un'altra a prescindere
dalla sua vascolarizzazione",E
43,"Indicare quali effetti collaterali sono caratteristici degli ACE inibitori:Abradicardia
B*prurito
C*edemi arti inferiori
D*tosse stizzosa
E*ritenzione urinaria",,,,,,
44,"Quale batterio e' coinvolto nel 90% delle mediastiniti discendenti
necrotizzanti?",,pneumocystis carinii,streptococco pyogenes,streptococco pneumoniae,pseudomonas aeruginosa,E
45,Il rene policistico è:,,una forma di pielonefrite pseudocistica,una malattia iatrogena,una malattia autosomica dominante monolaterale,una malattia autosomica dominante,E
46,"Ciascuna delle seguenti indicazioni alla colecistectomia in un paziente con
litiasi biliare è esatta tranne.",,,alcificazione della colecisti (colecisti a porcellana),,Pancreatite acuta senza altre cause note.,E
47,Quali di questi farmaci è un fibrato?,mlodipina,,Fenofibrato,,Fenfluoramina,E
48,La terapia dell'attacco acuto di gotta si basa sull'utilizzo di,NS,cortisone,allopurinolo,idrossiclorochina,colchicina,E
49,"Le statine sono in grado di determinare un marcato aumento della
colesterolemia HDL (HDL-C)?",,"Si, ma solo nei pazienti con livelli marcatamente ridotti di H",è limitato,L associati ad ipertrigliceridemia,"Si, solo nelle forme genetiche di dislipidemie",E
50,"Trattamento di scelta per grave intossicazione da litio (litiemia > 3.5
mEq/L):",,carbone attivo per sondino nasogastrico,infusione di soluzione fisiologica,infusione di soluzione fisiologica piu' furosemide,bicarbonato di sodio e.v.,E
51,"La percentuale di embolie polmonari diagnosticate in vita rispetto a quelle
diagnosticate all'autopsia è:",,Il 50-60%,L'80-90%,Il 20-30%,Sconosciuta,E
52,Le sequenze ripetute intersperse più frequenti nel menoma umano sono,lu,LIN,,,,B
53,Quale dei seguenti non è reperto comune nel mieloma multiplo alla diagnosi:,,picco M nel siero,plasmacellule nel midollo osseo superiori al 10%,lesioni osteolitiche,picco M nell'urina,E
54,"Tutti i seguenti periodi riguardanti l'assorbimento sono veri, tranne uno:",,12 viene assorbita nell'ileo,irca l'85% degli aminoacidi viene assorbito del digiuno,I grassi a catena corta passano nei linfatici intestinali,,E
55,Anemia macrocitica non e' causata da:,,12,deficit di folati,sindrome mielodisplastica,anemia sideroblastica,E
56,"Una donna di 22 anni affetta da diabete da 6 anni ora desidera un figlio. La
paziente assume 32 unità di insulina NPH ogni mattina e l'escrezione
urinaria di glucosio (misurata 2 volte al giorno) è pari a tracce o 1 +. La
quota di emoglobina glicata è pari a 9.8%. La donna fa uso di contraccettivi
orali. Il medico curante dovrebbe avvertirla che:",1,I contraccettivi orali possono indurre un aumento dei livelli di Hb,"Si può aspettare a ricercare un miglior controllo del diabete fino all'inizio
della gravidanza","L'attuale schema di terapia insulinica sarà adeguato probabilmente fino
all'ultimo trimestre della gravidanza.","Sarà probabilmente necessario ospedalizzarla per la maggior parte della
gravidanza per garantire un parto e un periodo perinatale regolari",E
57,"La causa più frequente di angioedema isolato dell'adulto è rappresentata
attualmente da:",,,,Terapia con,Terapia con beta-bloccanti,E
58,"Quale è il valore di colesterolemia LDL desiderabile per un individuo ad alto
rischio cardiovascolare:",,,ompreso tra 130-160 mg/dl,ipende dalla causa della ipercolesterolemia,Non esiste un valore desiderabile,E
59,"Affezione metabolica che non si associa a malattia da deposito di pirofosfato
di calcio:",,emocromatosi,iperossaluria primitiva,iperparatiroidismo,gotta,E
60,Non esclude la diagnosi di dissecazione aortica:,,T,RMN,,cocardiografia transtoracica,E
61,"Non e' fattore di rischio di emorragia gastrointestinale in un'unita' di terapia
intensiva:Atrauma cranico
B*ventilazione meccanica
C*coagulopatia
D*ileo
E*insufficienza renale",,,,,,
62,Caratteristiche associate alla malattia di Graves:,,mixedema pretibiale,pachidattilia tiroidea,linfoadenopatia diffusa con splenomegalia,tutte le precedenti,E
63,"La presenza di leucociti in un campione di feci o di muco rettale è
compatibile con ciascuna delle seguenti cause tranne:",,Shigella Sonni,olite ulcerosa,,ntamoeba histolytica,E
64,L'ARDS è caratterizzato da:,,Ipossia non correggibile con l'ossigenoterapia,Ipossia correggibile con l'ossigenoterapia,Ipossia lieve e grave ipercapnia,Ipercapnia severa,E
65,L'irrorazione nutritizia del polmone è fornita da vasi provenienti da:,orta toracica,,,,Vene polmonari,E
66,I primi cugini hanno in comune,,1/4 genoma,1/8 genoma,1/16 genoma,1/32 genoma,E
67,Cosa sono le LDL piccole e dense?,,una sottoclasse delle L,una sottoclasse delle L,L che si formano durante la digestione,una sottoclasse delle L,E
68,"Quali farmaci ipolipemizzanti si sono dimostrati efficaci nel ridurre il rischio
coronarico nei pazienti con diabete di tipo 2?",,le statine,i fibrati,la metformina,l'insulina,E
69,Quale delle seguenti asserzioni sul trattamento del ca pancreatico e' vera:,,ca pancreatico e' resecabile in maggior parte dei casi,risposta iniziale al 5FU in maggior parte dei pazienti con ca metastatico,"duodenopancreasectomia (intervento di Whipple) e' procedimento chirurgico
elettivo",nessuna delle precedenti,E
70,La pressione netta di ultrafiltrazione glomerulare è:,,75-100 mm Hg,,,,B
71,"In quale dei seguenti si riscontrano più frequentemente calcoli di
bilirubinato?",,Porpora trombocitopenica,Hodgkin,sferocitosi ereditaria,Leucemia,E
72,Il circolo polmonare è un sistema caratterizzato da:,lta pressione ed alto flusso,assa pressione e basso flusso,,,levata resistenza al flusso,E
73,Il piu' importante regolatore della concentrazione di 1-25 OH vitamina D e':,,magnesiemia,25 OH vitamina,paratormone,prolattina,E
74,"Nei pazienti affetti da Iperlipemia Familiare Combinata (FCHL) il rischio
cardiovascolare è:",umentato,Ridotto,Simile a quello della Ipertrigliceridemia Familiare,,Non è noto,E
75,"La comparsa di dolore unilaterale e trisma in un paziente con tonsillite acuta
è suggestivo per:",scesso peritonsillare,,Sospetta complicanza neurologica da tonsillite acuta,,Flemmone laterofaringeo,E
76,"Le caratteristiche della depressione atipica comprendono i seguenti sintomi
tranne:",,Iperfagia e craving per i carboidrati,Ipersensibilità al rifiuto,Reattività dell'umore,Sintomi paranoidei,E
77,Nello shock distributivo di tipo neurogeno tipicamente :,,Si riscontra riduzione della pressione venosa centrale,Il rapporto gittata cardiaca/stroke volume è invariato,Tutte le risposte sono esatte,Nessuna delle risposte è esatta,E
78,La sindrome di Kimmestiel-Wilson è:,,una acidosi tubulare,una glomerulonefrite,una forma secondaria di ipertensione,una complicazione del diabete mellito,E
79,L'addominoplastica è:,,,alcoli misti dovuti a dismotilità della colecisti,,,E
81,La frazione di eiezione ventricolare sinistra non:,umenta con l'esercizio nei soggetti normali,,,,"Va valutata nell'isufficienza cardiaca congestizia per differenziare la
disfunzione sistolica da quella diastolica",E
82,Quale delle seguenti affermazioni sull'enterocolite da raggi non e' corretta:,,stenosi e' complicanza tardiva,resezione chirurgica consigliata di routine,arterite e ischemia della mucosa conseguenza di alti livelli di esposizione,nessuna delle elencate,E
83,Alterazione di laboratorio non compatibile con anemia perniciosa severa:,,aumento dei reticolociti,macro-ovalociti,neutrofili ipersegmentati,tutte le precedenti,E
84,"La più comune valvulopatia associata a sindrome di Marfan è rappresentata
da:",,Stenosi mitralica,Insufficienza mitralica,Prolasso della mitrale,Insufficienza aortica,E
85,"Non e' tipico effetto collaterale del regime settimanale di metotrexate a basse
dosi (5-15 mg) nel trattamento dell' artrite reumatoide:",,alopecia,nefropatia,stomatite,trombocitopenia,E
86,"Nel paziente uremico è presente un'alterazione del metabolismo
calcio/fosoforo consistente in:",,una ridotta produzione di calcitonina,una ridotta produzione di paratormone,,una ipercalcemia,E
87,"Quali tra le seguenti condizioni cliniche non costituisce un fattore di rischio
per embolia polmonare?",,Trombosi venosa profonda,Infezioni respiratorie,Neoplasia,Immobilizzazione prolungata,E
88,"Diagnosi di aspergillosi broncopolmonare allergica in una persona con asma,
infiltrati polmonari ricorrenti ed eosinofilia e' suffragata da tutti questi
elementi tranne:",spergillus fumigatus,,,,,
89,"Un maschio portatore di una traslocazione bilanciata X-autosomica ha un
rischio di avere figli con cariotipo sbilanciato del",,10%,25%,50%,100%,E
90,Maggior parte dei pazienti con proteina M IgM hanno:,,LL,MGUS,Linfoma,Mielosa multiplo,E
91,Quale è la principale causa di morte dei pazienti affetti da diabete di tipo 2?,,l' insufficienza renale,l'ictus,il coma diabetico,Nessuna delle precedenti,E
92,"Quali delle seguenti patologie possono presentare una sintomatologia simile
a quella del disturbo di panico:",,,Intossicazione da caffeina,Ipoglicemia,Tutte le patologie indicate,E
93,"In presenza di un paziente con dispnea inspiratoria grave da neoplasia
laringea stenosante quale provvedimento terapeutico può essere indicato?",,Intubazione oro-tracheale,Laser terapia disostruttiva,Laringectomia totale,Terapia corticosteroidea,E
94,"In presenza di un paziente con dispnea inspiratoria grave da inalazione di
corpo estraneo quale provvedimento terapeutico può essere indicato?",,Intubazione oro-tracheale,Laser terapia disostruttiva,Laringo-broncoscopia,Terapia corticosteroidea,E
95,"Quali delle principali dislipidemie può essere diagnosticata mediante
tecniche di biologia molecolare?",,L'ipertrigliceridemia familiare,L'iperlipemia familiare combinata,La ipercolesterolemia poligenica,Nessuna delle precedenti,E
96,La sindrome dell'X fragile si trasmette con modalità,,autosomica recessiva,legata alla X dominante,legata alla x recessiva,mitocondriale,E
97,"Quale dei seguenti farmaci è più efficace nel ridurre i livelli plasmatici di
Proteina C Reattiva (PCR)?",,le resine a scambio ionico,le statine a più marcata azione ipocolesterolemizzante,gli anticoagulanti,l'aspirina,E
98,Attraverso quale meccanismo agiscono i fibrati?,Rs,L'aumento del catabolismo dei trigliceridi,La riduzione della sintesi delle VL,La riduzione dell'assorbimento intestinale del colesterolo,Nessuno dei precedenti,E
99,La capnometria è:,,La misura della,Una tecnica in via di sperimentazione,Una recente tecnica di biologica molecolare,Una stima indiretta dell'attivazione flogistica,E
100,Quale è il segno patognomonico della ipercolesterolemia familiare?,,la presenza di xantomatosi tendinea,la presenza di iperlipemia mista,la presenza di malattia coronarica precoce,la presenza di insulinoresistenza associata,E
101,L'obesita' non e' un fattore di rischio per:,,colelitiasi,diabete mellito,ipertensione,ipertrigliceridemia,E
102,"Quale è il principale meccanismo di regolazione dei livelli plasmatici delle
LDL?",,L'attività del recettore L,Il contenuto di colesterolo dell'enterocita,I livelli di insulinemia,Nessuno dei precedenti,E
103,La malattia di Tasy-Sachs comporta un difetto,,del nucleo,dei lisosomi,dei perossisomi,del Golgi,E
104,Quali di questi farmaci è una statina?,mlodipina,,Fenofibrato,,Fenfluoramina,E
105,"Quale apoproteina è in grado di legare con elevata affinità il recettore
LDL?",I,-100,L'apo,L'apo,Nessuna delle precedenti,E
106,Quale di queste asserzioni sul ca ovario e' vera:,125 buon test di screening,dosaggio,completa escissione chirurgica primaria determina sopravvivenza migliore,necessaria riesplorazione chirurgica dopo chemioterapia,nessuna delle precedenti,E
107,Quale e' l'indicazione al trattamento chirurgico dello pneumotorace?,,,,,,
108,Il contenuto medio di acqua nell'adulto di sesso femminile è:,,Il 50% del peso corporeo,Il 75% del peso corporeo,Il 10% del peso corporeo,Nessuna delle risposte è esatta,E
109,"La prevalenza nell'arco della vita del disturbo ossessivo compulsivo è di
circa:",,2 - 3%,5 - 10%,10 - 20%,oltre il 20%,E
110,"Quali sono gli effetti collaterali che più frequentemente compaiono durante
la terapia con le statine?",,L'aumento della,Le mialgie,Tutti i precedenti,Nessuno dei precedenti,E
111,La coartazione aortica puo' essere associata a tutti i seguenti reperti tranne:,neurisma del circolo di willis,cianosi centrale,ipertensione,impronta costale,valvola aortica bicuspide,E
112,"L'apnea ostruttiva da sonno è dovuta ad ostruzione delle vie aeree
localizzata a livello di:",lte vie aeree,ronchioli terminali,,,Nessuna delle risposte è esatta,E
113,Quale dei seguenti non e' fattore di rischio per il ca squamoso dell'esofago:,,ingestione di sostanze alcaline,acalasia,alcool,papilloma squamoso,E
114,La lepirudina è:,,Una nuovo tipo di interferone,Un inibitore IIbIIIa,"Un anticoagulante alternativo per pazienti con trombocitopenia eparina
indotta",Un antibiotico,E
115,Sono tutti fattori di rischio di adenoCa gastrico tranne:,,polipi adenomatosi dello stomaco,nitrosamine degli alimenti,immunodeficienza comune variabile,pregresso intervento chirurgico per ulcera peptica,E
116,"Deficit vitaminico della madre che aumenta il rischio di difetti del tubo
neurale nella prole",,niacina,calciferolo,acido retinoico,folina,E
117,"Nella terapia dell'asma bronchiale quali tra i seguenti farmaci trovano le
minori indicazioni?",ntistaminici,Steroidi sistemici,,Steroidi topici,Metilxantine,E
118,Si definisce impianto:,,il trasferimento di un lembo da un individuo ad un altro,"un materiale utilizzato all'interno dell'organismo, ma estraneo ad esso",è sinonimo di protesi mammaria siliconica,qualsiasi materiale biologico,E
119,Quale è il sintomo più frequente di una lesione meniscale?,,cedimento,crepitio,dolore,versamento,E
120,"Ciascuna delle seguenti affermazioni sulla malattia di Crohn è corretta
tranne:",shkenazi,L'incidenza è aumentata negli ultimi 20 anni,Il fumo è un fattore di rischio per la malattia.,,nessuna delle risposte elencate è corretta,E
121,Quale affermazione sulle malattie cardiovascolari non e' vera:,merica dal 1950,500.000 americani muoiono ogni anno di infarto miocardio acuto,"la maggior parte dei decessi per infarto miocardio si verifica dopo l'arrivo
in ospedale",maggior parte dei decessi per infarto miocardio sono improvvisi,"percentuali di morte per infarto miocardio aggiustate per l'eta' sono
diminuite in",E
122,Quale delle seguenti affermazioni sul trapianto cardiaco non e' vera:,"indicazione piu' comune e' cardiopatia ischemica seguita da
cardiomiopatia idiopatica","attualmente solo il 10-20% dei potenziali donatori di cuore vengono
utilizzati",oltre il 30% dei pazienti muore in lista d'attesa prima del trapianto,"immunosoppressione cronica di routine comprende prednisone, azatioprina
e ciclosporina",ipertensione e' raro effetto collaterale della ciclosporina,E
123,La lesione glomerulare intrinseca (primitiva) piu' comune e':,,glomerulonefrite idiopatica membranoproliferativa,amiloidosi,nefropatia da Ig,glomerulosclerosi focale e segmentaria idiomatica,E
124,Fattori predittivi di recidiva di morbo di Crohn nel post intervento:,,Fumo,,Nessuna delle risposte è esatta,Tutte le risposte sono esatte,E
125,"Quale manifestazione, tra le seguenti, è presente in corso di sindrome di
Sjogren",,uveite,eritema nodoso,,,C
126,"I pazienti con battiti ventricolari prematuri asintomatici in quale dei
seguenti modi sono meglio trattati?",,moricizina,amiodarone,mexiletina,rassicurazione,E
127,L'ittero nella sindrome di Crigler-Najjar è dovuto a:,lterata escrezione della bilirubina,,,,Ostruzione dei dotti biliari intraepatici,E
128,"L'incidenza dello scompenso cardiaco nei soggetti sopra i 65 anni è stata
stimata in:",,1 su 1000 abitanti,1 su 100.000 abitanti,nessuna delle stime indicate,1 su 1.000.000 abitanti,E
129,Tutti questi reperti si associano alla sindrome di Kallman tranne:,,testosterone ridotto con LH e FSH elevati,acromatopsia (cecita' per i colori),quarto metacarpo breve,normoprolattinemia,E
130,"Sindromi da discinesia ciliare, inclusa la sindrome di Kartagener, non
danno:",,polmoniti,bronchiti ricorrenti,fibrosi polmonare interstiziale,sterilita',E
131,"Un uomo di 40 anni si presenta al pronto soccorso lamentando dolore
epigastrico, melena e nausea. Una EGDS dimostra un'ulcera duodenale di
2cm e le biopsie antrali sono positive per Helicobacter pylori. Qual è la
ragione più importante per eradicare l'infezione da Hp in questo paziente?",LToma,Guarire l'ulcera duodenale,Guarire l'ulcera duodenale e ridurre il rischio di recidiva d'ulcera,Prevenire un inevitabile M,Prevenire la trasmissione dell'Hp ai familiari,E
132,"La deposizione di catene leggere monoclonali nel rene puo' determinare
tutte le seguenti lesioni tranne:",L,amiloidosi tipo,depositi granulari con danno glomerulare,vasculite,necrosi tubulare acuta,E
133,Quale delle seguenti asserzioni sulla poliarterite nodosa e' vera:,,"lesioni colpiscono arterie di medio o piccolo calibro specialmente nei punti
di biforcazione",frequente l'eosinofilia con interessamento polmonare,tipica l'ipocomplementemia,si rilevano comunemente noduli sottocutanei,E
134,"Quale tra i seguenti è un fattore prognostico negativo del recupero
funzionale dopo frattura di femore?",,Frattura per-trocanterica,,Storia di decadimento cognitivo,Ritorno al proprio domicilio dopo la dimissione,E
135,"Quale esame strumentale è più attendibile nella diagnosi di un carcinoma
papillifero della tiroide:",gobiopsia,Scintigrafia,,,T,E
136,"Quale delle seguenti è una complicanza dell'impianto di un pacemaker
definitivo?",,Tamponamento cardiaco,,Tutte le complicanze indicate,Nessuna delle complicanze indicate,E
137,"Quale dei seguenti sistemi di monitoraggio dimostra l'ischemia degli organi
nei pazienti settici:",,tonometro gastrico,catetere arterioso,palloncino esofageo,ossimetro digitale,E
138,Quale è la causa più frequente di ipercolesterolemia familiare?,,,un deficit di lipoproteinlipasi,L,Nessuna delle precedenti,E
139,Sono tutte complicanze potenziali della pancreatite tranne:,,ascesso pancreatico,pseudocisti pancreatica,ipercalcemia,insufficienza renale acuta,E
140,E' una malattia da mutazione del genoma mitocondriale,drenoleucodistrofia,Fibrosi cistica,,Neuropatia ottica di Leber,,E
141,Tutti i seguenti causano o aggravano ipertensione tranne:,NS,liquirizia,supplementi di calcio,eritropoietina,F,E
142,Quale delle seguenti affermazioni sulla dissecazione aortica non e' vera:,,presente rigurgito valvolare aortico,aneurismi toracici frequentemente complicati da trombosi ed embolia,aneurismi addominali >5cm devono essere operati,sintomo piu' comune e' il dolore,E
143,Tutte le seguenti asserzioni sui FANS sono vere tranne:,,causano irritazione gastrica ed esacerbano le ulcere peptiche,sopprimono le funzioni vasodilatatorie delle prostaglandine renali,innalzano la soglia di percezione del dolore,maggior parte rapidamente assorbita dopo somministrazione orale,E
144,"In quali pazienti è consigliata la determinazione della Proteina C reattiva
(PCR)?",,in tutti i pazienti con ipercolesterolemia,in tutti i pazienti in cui si voglia fare prevenzione cardiovascolare primaria,nei pazienti con infarto del miocardio,nei pazienti a rischio cardiovascolare medio-alto,E
145,Tra le seguenti asserzioni sul ca dello stomaco non e' vero che:,,"fattori di rischio sono anemia perniciosa, Helicobacter pilori, emogruppo","linfonodo sopraclaveare sinistro (di Virchow) palpabile espressione di
malattia metastatica",chemioterapia adiuvante migliora certamente la sopravvivenza,tutte le precedenti,E
146,Quale delle seguenti affermazioni sul prolasso della mitrale non e' vera:,,predominanza femminile,comuni dolore toracico e palpitazioni,palpitazioni devono essere trattate con antiaritmici del tipo I,rottura delle corde tendinee determina edema polmonare acuto,E
147,"La biopsia endomiocardico puo' fornire diagnosi definitiva in tutte le
seguenti situazioni tranne:",,sarcoidosi,cardiomiopatia ipertrofica,emocromatosi,miocardite,E
148,Sono reperti frequenti nello shock anafilattico:,,Un aumento della pressione venosa centrale,"Un sensibile incremento della pressione di incuneamento in arteria
polmonare",Nessuna delle risposte è esatta,Tutte le risposte sono esatte,E
149,E' indice di distrofia muscolare,umento delle creatinfosfochinasi,,,,,E
150,Non e' predittore di tromboembolismo nei pazienti con fibrillazione atriale:,,storia di ipertensione,disfunzione globale del ventricolo sinistro,stenosi mitralica,eta' < 40 anni,E
151,L'anemia da malattie croniche dell'anziano è generalmente:,,Ipocromica microcitica,Ipocromica macrocitica,Può presentarsi in tutti e tre i modi citati,Nessuna delle anemie citate,E
152,Quale delle seguenti affermazioni sulla dissecazione aortica non e' vera:,,tipo II coinvolgono solo aorta ascendente,tipo II originano nell'aorta discendente,causa piu' comune e' sindrome di Marfan,sintomo piu' comune e' dolore,E
153,La necrosi tubulare è:,,una glomerulonefrite acuta,una forma di acidosi tubulare,un infarto renale,una forma di insufficienza renale acuta a patogenesi tossico-ischemica,E
154,La linfoadenopatia diffusa è tipica di tutte le seguenti malattie tranne:,I,,Terapia con dilantina,Malattia di Hodgkin,Linfoma angioimmunoblastico,E
155,Il classico segno radiologico di pneumotorace è:,ccentuazione del disegno polmonare,Velatura emitorace,Opacità livellata,Opacamento emitorace,,E
156,"Quale è il rischio cardiovascolare di un paziente affetto da diabete di tipo
2 ?",,compreso tra il 5-10%,> al 10%,assimilabile a quello di un paziente con storia di malattia coronarica,"Variabile, in relazione agli altri fattori di rischio",E
157,La sindrome di Marfan è trasmessa come tratto,utosomico dominante,,Legato alla X dominante,Multifattoriale,,E
158,"Quale è la terapia più efficace per ridurre i livelli della colesterolemia
LDL?",,La terapia con le statine,La terapia con i fibrati,L'incremento della attività fisica,Nessuna di quelle indicate,E
159,"I difetti cardiaci congeniti in cui ci si aspetta fino all'eta' adulta
comprendono tutti i seguenti tranne:",,difetto ostio secundum setto striale,difetto setto interventricolare,anomalia di ebstein,atresia tricuspide,E
160,L'ipercalcemia è una complicazione frequente in,,Tumori gastrici,Tumori intestinali,Tumori cerebrali,Linfomi,E
161,Modesta anemia microcitica e alto tasso di HbA2 suggeriscono:,,tratto falciforme,beta talassemia,sferocitosi ereditaria,persistenza ereditaria di Hb fetale,E
162,"La cardiomiopatia restrittiva puo' essere dovuta a tutte le seguenti
situazioni tranne:",,deficit di tiamina,malattia da accumulo di glicogeno,sovraccarico di ferro,,D
