index,question,answer,macro_category,area,gemma,llama,mistral
27,quale dei seguenti diuretici è il più appropriato nel trattare l'ipercalciuria?,E,farmacologia,Preclinica,E,E,E
28,quale dei seguenti farmaci è un beta bloccante selettivo?,B,farmacologia,Preclinica,B,B,B
29,cosa si intende per farmacovigilanza?,B,farmacologia,Preclinica,B,B,B
30,quale dei farmaci riportati è responsabile di tossicità renale ?,C,farmacologia,Preclinica,C,C,C
31,la succinilcolina è utilizzata come:,D,farmacologia,Preclinica,D,D,D
32,nella sperimentazione clinica gli 'endpoint' sono,A,farmacologia,Preclinica,A,A,A
33,a quale delle classi di farmaci indicate appartiene l'amiloride?,B,farmacologia,Preclinica,B,B,B
34,quale tra i seguenti farmaci non è utilizzato nell'ipertiroidismo?,C,farmacologia,Preclinica,C,C,C
35,l'emivita (t ½) di un farmaco è:,C,farmacologia,Preclinica,E,C,B
36,"i farmaci nitroderivati diminuiscono il lavoro del cuore, e quindi la richiesta di ossigeno da parte del miocardio, in quanto:",D,farmacologia,Preclinica,D,D,D
37,quale di questi farmaci può essere considerato un agente di prima scelta per la terapia ambulatoriale del paziente con scompenso cardiaco?,C,farmacologia,Preclinica,C,C,C
38,in un paziente con ipoacusia e/o vertigini non si dovrebbero somministrare:,C,farmacologia,Preclinica,C,C,C
39,in un paziente in terapia con simvastatina la contemporanea assunzione di claritromicina puo' determinare :,B,farmacologia,Preclinica,B,B,B
40,cosa si intende per tolleranza?,A,farmacologia,Preclinica,A,A,A
41,quale tra i seguenti farmaci è controindicato nei pazienti asmatici?,C,farmacologia,Preclinica,C,C,C
42,quale delle seguenti affermazioni sull'utilizzo degli inibitori della pompa protonica è corretta?,E,farmacologia,Preclinica,E,E,E
43,"i benefici, ormai stabiliti, della terapia sostitutiva con estrogeni in donne in menopausa includono una riduzione di tutte le seguenti condizioni, tranne:",B,farmacologia,Preclinica,E,B,B
44,attraverso quale dei seguenti meccanismi d'azione agisce la metformina?,B,farmacologia,Preclinica,A,B,A
45,"nello scompenso cardiaco di grado lieve-moderato non fibrillante, il trattamento farmacologico elettivo consiste in:",B,farmacologia,Preclinica,B,B,B
46,quale degli aggettivi sotto riportati definisce nella maniera più corretta un farmaco che impedisce la crescita batterica?,B,farmacologia,Preclinica,B,B,B
47,quale dei seguenti effetti collaterali riconosciuti degli antipsicotici dovrebbe essere trattato tempestivamente?,B,farmacologia,Preclinica,B,B,B
48,"quale delle seguenti sostanze, contenuta in alcuni alimenti della normale dieta quotidiana, può provocare una crisi ipertensiva in soggetti che assumono inibitori delle mao a?",A,farmacologia,Preclinica,A,A,A
49,quale dei seguenti effetti è comune sia all'alendronato che alla calcitonina?,C,farmacologia,Preclinica,C,C,C
50,quale delle seguenti cefalosporine non viene assorbita per os,E,farmacologia,Preclinica,E,E,E
51,il propiltiouracile:,A,farmacologia,Preclinica,D,A,A
52,l'adrenalina è aggiunta agli anestetici locali per,C,farmacologia,Preclinica,D,C,E
53,quale dei seguenti farmaci è quello più appropriato da usare nel diabete insipido?,E,farmacologia,Preclinica,D,E,E
54,uno dei farmaci seguenti può essere utilizzato nel trattamento della tachicardia parossistica sopraventricolare.,B,farmacologia,Preclinica,B,B,B
55,il meccanismo più importante per l'azione gastrolesiva dei fans è rappresentato da:,D,farmacologia,Preclinica,D,D,D
56,quale dei seguenti fans ha minore potenziale gastrotossico?,D,farmacologia,Preclinica,D,D,D
57,nel vomito da cinetopatia l'antiemetico da prescrivere è:,D,farmacologia,Preclinica,A,D,D
58,quale dei seguenti farmaci viene utilizzato per la profilassi della malattia delle membrane ialine?,B,farmacologia,Preclinica,B,B,B
59,l'omeprazolo e' il capostipite di una categoria di farmaci usati nella terapia della malattia peptica. la sua azione farmacologica e' dovuta a:,B,farmacologia,Preclinica,B,B,B
60,come è meglio impostare una terapia antiepilettica in una donna gravida in cui non è consigliabile sospendere del tutto l'uso dei farmaci?,C,farmacologia,Preclinica,C,C,C
61,quale delle seguenti affermazioni riguardo alla digitale non è corretta?,D,farmacologia,Preclinica,D,D,C
62,quale farmaco non svolge un ruolo primario nella terapia dello scompenso cardiaco congestizio?,B,farmacologia,Preclinica,B,B,B
63,"i neurolettici tipici (ad es., aloperidolo, clorpromazina etc) possono provocare reazioni extrapiramidali, quali :",E,farmacologia,Preclinica,E,E,E
64,"tutte le seguenti condizioni rientrano tra le indicazioni alla somministrazione di iodio, tranne:",C,farmacologia,Preclinica,B,C,C
65,in caso di shock anafilattico occorre ricorrere rapidamente alla somministrazione di:,B,farmacologia,Preclinica,B,B,B
66,i bersagli molecolari di un farmaco sono costituiti da:,E,farmacologia,Preclinica,E,E,E
67,quale dei seguenti farmaci è il più efficace nel trattare la nausea e il vomito associati alla malattia di meniere?,C,farmacologia,Preclinica,B,C,B
68,il meccanismo di azione dei farmaci antipsicotici consiste nel blocco dei siti recettoriali di uno dei seguenti neurotrasmettitori:,B,farmacologia,Preclinica,B,B,B
69,"quale cefalosporina, delle sottoelencate, ha l'emivita più lunga?",C,farmacologia,Preclinica,C,C,C
70,"tutti i seguenti farmaci sono antitubercolari, tranne:",D,farmacologia,Preclinica,D,D,D
71,in un paziente con asma bronchiale o bpco il farmaco da usarsi per l'angina pectoris è:,B,farmacologia,Preclinica,E,B,E
72,in un soggetto affetto da grave ipertrofia prostatica è controindicato l'uso:,A,farmacologia,Preclinica,A,A,A
73,la tossicità cardiaca limita l'utilità clinica di quale dei seguenti antitumorali:,B,farmacologia,Preclinica,B,B,B
74,quale dei seguenti farmaci anti-diarroici produce minori effetti collaterali legati al sistema nervoso centrale?,B,farmacologia,Preclinica,B,B,B
75,"in caso di meningite da streptococco pneumoniae, quale dei seguenti antibiotici è quello più indicato?",D,farmacologia,Preclinica,D,D,D
76,l'associazione di trimetoprim e sulfametossazolo è efficace contro quale delle seguenti infezioni opportuniste nei pazienti con aids?,C,farmacologia,Preclinica,C,C,C
77,quale tra i seguenti fattori non influenza il trasporto placentare di un farmaco?,C,farmacologia,Preclinica,E,C,E
78,il principale effetto collaterale della terapia con ferro e' ?,A,farmacologia,Preclinica,A,A,A
79,nella terapia del dolore cronico le linee guida indicano:,D,farmacologia,Preclinica,D,D,D
80,l'indice terapeutico dei glicosidi digitalici è mediamente 3; ciò significa che:,A,farmacologia,Preclinica,A,B,A
81,quale tra i seguenti farmaci non è utilizzato nella terapia dell'asma?,D,farmacologia,Preclinica,D,D,D
82,quale tra i seguenti farmaci non ha potenziale nefrotossico?,E,farmacologia,Preclinica,E,A,E
83,quale dei seguenti farmaci antiipertensivi può causare tosse?,C,farmacologia,Preclinica,C,C,C
84,indicare quale delle seguenti condizioni costituisce una controindicazione per l'uso di metoclopramide:,D,farmacologia,Preclinica,D,D,D
85,qual è l'antipiretico di scelta per una sindrome febbrile di probabile natura virale in un bambino di 5 anni?,E,farmacologia,Preclinica,E,E,E
86,la meperidina è un farmaco:,B,farmacologia,Preclinica,B,B,B
87,la nitroglicerina:,B,farmacologia,Preclinica,B,B,B
88,quale tra i seguenti farmaci determina il blocco dei recettori alfa-adrenergici e riduce la pressione arteriosa?,D,farmacologia,Preclinica,D,D,D
89,quale dei seguenti effetti dei fans è ridotto nel caso degli inibitori selettivi della cox-2?,B,farmacologia,Preclinica,B,B,B
90,quale tra i seguenti farmaci non è utilizzato nella terapia dello scopenso cardiaco cronico?,E,farmacologia,Preclinica,E,E,E
91,l'acido clavulanico è importante perchè:,D,farmacologia,Preclinica,D,D,D
92,quale dei seguenti farmaci è il più efficace nel trattare la nausea e il vomito associati a cinetosi?,D,farmacologia,Preclinica,D,D,D
93,quale dei seguenti effetti collaterali è caratteristico della terapia con ampicillina?,C,farmacologia,Preclinica,C,C,C
94,la streptomicina si puo' efficacemente associare alla ampicillina nelle infezioni da (indicare la risposta corretta):,B,farmacologia,Preclinica,B,B,C
95,quale tra i seguenti farmaci può causare sindrome muscarinica:,A,farmacologia,Preclinica,A,A,A
96,quale tra i seguenti tipi cellulari rappresenta il principale bersaglio dell'azione farmacologica della ciclosporina e del tacrolimus?,C,farmacologia,Preclinica,C,C,C
97,indicare quella corretta tra le seguenti affermazioni riguardanti la farmacogenomica,D,farmacologia,Preclinica,D,D,D
98,"affinché compaia l'effetto terapeutico degli antidepressivi triciclici, è necessario che dall'assunzione del farmaco trascorrano:",D,farmacologia,Preclinica,D,D,D
99,microorganismi resistenti ad un determinato chemioterapico:,A,farmacologia,Preclinica,A,A,A
100,il maggior vantaggio della fenossimetil penicillina nei confronti della benzil penicillina è che:,D,farmacologia,Preclinica,C,D,D
101,i seguenti sono potenziali effetti collaterali dei diuretici tiazidici:,A,farmacologia,Preclinica,A,A,A
102,l' associazione di un sulfamidico e pirimetamina e' indicata per il trattamento di (indicare l' affermazione corretta):,B,farmacologia,Preclinica,B,B,B
103,per effetto placebo di un farmaco si intende :,A,farmacologia,Preclinica,A,A,A
104,l'acido acetilsalicilico presenta effetti antiaggreganti piastrinici perché:,C,farmacologia,Preclinica,C,C,C
105,un diabetico anziano insulino-dipendente deve ricevere un trattamento con beta-bloccante per ipertensione e angina. quale fra i seguenti potrebbe essere la scelta più accettabile?,C,farmacologia,Preclinica,B,C,C
106,i farmaci della classe dei chinoloni:,C,farmacologia,Preclinica,C,C,C
107,una delle seguenti penicilline è beta lattamasi resistente. indicare quale,B,farmacologia,Preclinica,B,B,C
108,i pazienti dislipidemici che non hanno beneficio da terapia con le statine possono essere:,D,farmacologia,Preclinica,D,D,D
109,"un paziente di 72 anni con parkinsonismo presenta piedi edematosi di color rossastro, sensibili, molto dolorosi. questi sintomi possono scomparire in pochi giorni se verrà detto al paziente di sospendere uno dei seguenti farmaci che sta eventualmente assumendo:",C,farmacologia,Preclinica,D,E,E
110,"indicare quale, tra le seguenti affermazioni sui diuretici, è corretta:",A,farmacologia,Preclinica,A,A,A
111,"indicare quale, tra le seguenti affermazioni sui farmaci antiemetici, è corretta",B,farmacologia,Preclinica,A,B,B
112,quale dei seguenti farmaci è un barbiturico usato come antiepilettico ?,C,farmacologia,Preclinica,C,C,C
113,la somatostatina:,B,farmacologia,Preclinica,A,B,B
114,"tutte le seguenti affermazioni relative agli steroidi della corteccia surrenale sono corrette, tranne:",E,farmacologia,Preclinica,E,B,B
115,quale tra le seguenti affermazioni meglio si adatta alla somministrazione dei farmaci per via endovenosa?,A,farmacologia,Preclinica,A,A,A
116,indicare il meccanismo d'azione antibatterica del trimethoprim,E,farmacologia,Preclinica,E,E,B
117,i farmaci più efficaci per ridurre le concentrazioni plasmatiche di trigliceridi sono:,C,farmacologia,Preclinica,C,C,C
118,"un paziente trattato con penicillina g che manifesti a distanza di 7-12 giorni orticaria, febbre, edemi articolari, artralgie, linfoadenopatie, edemi al viso e al collo è molto probabilmente affetto da:",C,farmacologia,Preclinica,C,C,C
119,quale tra i seguenti non è considerato un sintomo di intossicazione da inibitori delle colinesterasi?,C,farmacologia,Preclinica,C,C,C
120,un paziente lamenta disuria e pollacchiuria. l'analisi delle urine mostra un'ematuria microscopica ma nessuna batteriuria. quale dei seguenti farmaci che sta assumendo è quello più probabilmente responsabile per questo effetto avverso?,D,farmacologia,Preclinica,D,D,D
121,il farmaco più attivo nell'interrompere un attacco di emicrania è:,D,farmacologia,Preclinica,D,D,D
122,l'induzione enzimatica:,A,farmacologia,Preclinica,A,A,A
123,i neurolettici sono farmaci indicati nel trattamento di:,C,farmacologia,Preclinica,C,C,C
124,tutte le seguenti affermazioni relative ai glucocorticoidi sono corrette tranne:,B,farmacologia,Preclinica,B,B,B
125,i nitrati:,C,farmacologia,Preclinica,C,C,C
126,in caso di grave emorragia dovuta ad iperdosaggio di eparina:,E,farmacologia,Preclinica,E,E,E
127,quale tra i seguenti farmaci non è controindicato in pazienti con ulcera peptica?,E,farmacologia,Preclinica,E,E,E
128,l'effetto massimo (emax) raggiunto da un farmaco è una misura di,B,farmacologia,Preclinica,B,B,B
129,il bromuro di pancuronio si utilizza a scopo:,D,farmacologia,Preclinica,D,D,D
130,tutte le seguenti affermazioni sono corrette tranne:,D,farmacologia,Preclinica,D,D,E
131,qual è l'indicazione elettiva della teicoplanina?,C,farmacologia,Preclinica,C,C,C
132,un farmaco generico è,E,farmacologia,Preclinica,E,E,E
133,i contraccettivi ormonali femminili possono provocare lo sviluppo di:,A,farmacologia,Preclinica,B,A,A
134,la somministrazione di amminofillina endovena non causa:,B,farmacologia,Preclinica,E,B,B
135,quale tra i seguenti non è un effetto avverso comune ai farmaci antiinfiammatori non steroidei:,C,farmacologia,Preclinica,C,C,C
136,quale tra le seguenti non è una manifestazione da sovradosaggio di benzodiazepine:,D,farmacologia,Preclinica,D,D,D
137,il protossido d'azoto:,B,farmacologia,Preclinica,B,B,B
138,nell'intossicazione da oppiacei le pupille sono:,A,farmacologia,Preclinica,A,A,A
139,e' un impiego clinico delle benzodiazepine:,D,farmacologia,Preclinica,D,D,D
140,l'utilizzo dei bloccanti neuromuscolari è utile in tutti i seguenti casi tranne:,D,farmacologia,Preclinica,D,D,D
141,le penicillinasi interferiscono con l'attività antibatterica delle penicilline mediante quale dei seguenti meccanismi?,B,farmacologia,Preclinica,B,B,B
142,il farmaco antiaritmico di prima scelta per trattare le aritmie da digitale è:,A,farmacologia,Preclinica,A,B,A
143,quale tra questi gruppi è solitamente maggiormente rappresentato negli studi sperimentali con farmaci?,A,farmacologia,Preclinica,A,A,A
144,tutti i seguenti fattori tendono ad abbassare la concentrazione plasmatica di un farmaco tranne:,B,farmacologia,Preclinica,B,B,B
145,"quale, dei sottoindicati, è il meccanismo d'azione della polimixina b?",D,farmacologia,Preclinica,D,D,D
146,nel trattamento di una faringite stafilococcica l'antibiotico da scegliere è:,A,farmacologia,Preclinica,A,D,A
147,"quale, tra i seguenti farmaci, non è utile nel trattamento della gotta?",B,farmacologia,Preclinica,B,B,B
148,quale di questi farmaci può essere considerato un agente di prima scelta per la terapia ambulatoriale del paziente con scompenso cardiaco non fibrillante?,C,farmacologia,Preclinica,C,C,C
149,quale tra i seguenti farmaci non determina stipsi?,D,farmacologia,Preclinica,B,B,A
150,quale delle seguenti affermazioni riguardanti l'utilizzo degli antagonisti dei recettori per l'istamina nella terapia antiulcera è corretta?,C,farmacologia,Preclinica,C,C,C
151,"tutte le seguenti affermazioni riguardanti l'utilizzo degli antagonisti dei recettori per l'istamina nella terapia antiulcera sono errate, tranne:",C,farmacologia,Preclinica,C,C,C
152,un paziente di 58 anni con una storia di 5 anni di angina pectoris ed un infarto miocardico recente è ricoverato per una seria emergenza ipertensiva. quale di questi farmaci verrà al meglio usato in questo paziente?,D,farmacologia,Preclinica,D,D,D
153,uno dei seguenti è un effetto farmacologico della prazosina. indicarlo.,C,farmacologia,Preclinica,C,C,C
154,quale delle seguenti e' un'indicazione clinica dei farmaci antistaminici h2 ?,B,farmacologia,Preclinica,B,B,B
155,quale delle seguenti affermazioni sulle tetracicline è corretta?,D,farmacologia,Preclinica,D,D,D
156,lo studio dei fattori che determinano le variazioni della concentrazione plasmatica di un farmaco nel tempo è definito:,D,farmacologia,Preclinica,D,D,D
157,l'intossicazione da sali di litio migliora con:,A,farmacologia,Preclinica,A,A,A
158,quale dei seguenti farmaci è associato con effetti femmninilizzanti negli uomini nel corso di una terapia cronica?,A,farmacologia,Preclinica,D,A,E
159,"un garagista di 26 anni è a letto da 3 giorni con febbre, malessere, tosse e lieve affanno. non si riscontrano faringite o linfoadenopatia, ma all'ascultazione del torace pochi ronchi e non sibili o rantoli. una radiografia evidenzia un quadro broncopneumonico. escludendo allergie a farmaci, quale dei seguenti antibiotici andrebbe inizialmente consigliato?",B,farmacologia,Preclinica,B,B,B
160,quale tra le seguenti condizioni non rientra tra le possibili indicazioni all'uso di oppiacei?,D,farmacologia,Preclinica,E,D,E
161,quale delle seguenti e' un'indicazione clinica dei farmaci antistaminici h1?,E,farmacologia,Preclinica,E,E,E
162,quale tra i seguenti farmaci può essere usato nel trattamento dei tumori della mammella?,A,farmacologia,Preclinica,A,A,A
163,le ricette ripetibili:,B,farmacologia,Preclinica,B,B,A
164,il metabolismo di primo passaggio:,D,farmacologia,Preclinica,D,D,D
165,"quale dei seguenti chemioterapici e' attivo nelle infezioni da pseudomonas aeruginosa, ma puo' determinare ototossicita' e nefrotossicita'?",B,farmacologia,Preclinica,B,B,B
166,uno dei seguenti tipi di microrganismi è sensibili alla penicillina g. indicare quale.,A,farmacologia,Preclinica,A,A,A
167,da cosa può essere antagonizzata la depressione respiratoria indotta dalla morfina?,C,farmacologia,Preclinica,C,C,C
168,quale tra le seguenti affermazioni concernenti la terapia orale con acido ursodesossicolico per la dissoluzione dei calcoli biliari è falsa?,C,farmacologia,Preclinica,C,C,C
169,quale dei seguenti effetti collaterali è possibile nel corso di terapia con carbenicillina?,B,farmacologia,Preclinica,B,B,B
170,i glucocorticoidi interagiscono con tutte le seguenti strutture tranne:,C,farmacologia,Preclinica,A,A,A
171,i sulfamidici sono ancora oggi farmaci di scelta (indicare l' affermazione corretta):,C,farmacologia,Preclinica,C,B,C
172,la prevenzione della endocardite da streptococco può essere attuata con uno dei seguenti farmaci. indicare quale.,B,farmacologia,Preclinica,B,B,B
173,"una paziente di 28 anni, all'ottavo mese di gravidanza, sviluppa un'infezione urinaria da escherichia coli. indicare fra i seguenti il trattamento antibiotico più appropriato:",E,farmacologia,Preclinica,E,E,E
174,quale dei seguenti farmaci può determinare dipendenza ?,B,farmacologia,Preclinica,B,B,B
175,quale delle seguenti scelte associa correttamente un paio di farmaci con la malattia epatica che essi provocano?,E,farmacologia,Preclinica,D,E,E
176,l'imipenem è:,E,farmacologia,Preclinica,E,E,E
177,quale dei seguenti farmaci antagonizza l'effetto broncodilatatore e vasodilatatore dell'isoproterenolo?,D,farmacologia,Preclinica,D,D,D
178,in quale delle sequenti malattie non si prospetta la terapia genica?,C,farmacologia,Preclinica,C,C,C
179,quale tra le seguenti cefalosporine si concentra elettivamente nelle vie biliari,D,farmacologia,Preclinica,D,D,D
180,quale tra i seguenti farmaci è analgesico:,B,farmacologia,Preclinica,B,B,B
181,quale tra i seguenti farmaci non è un agonista dei recettori beta-adrenergici?,D,farmacologia,Preclinica,D,D,D
182,"un paziente sviluppa iperkalemia dopo aver assunto amiloride ed un integratore di potassio. tutti i seguenti trattamenti potranno essere efficaci, tranne:",D,farmacologia,Preclinica,D,D,D
183,in un paziente con insufficienza ventricolare sistolica sinistra di grado lieve senza fibrillazione atriale quale dei seguenti farmaci è consigliabile:,C,farmacologia,Preclinica,B,A,A
184,"la bromocriptina è usata in alcuni casi di amenorrea, perché?",D,farmacologia,Preclinica,D,D,D
185,quale dei seguenti fans viene utilizzato come antiaggregante piastrinico ?,D,farmacologia,Preclinica,D,D,D
186,quando si desidera ottenere dilatazione pupillare ma non cicloplegia il farmaco di scelta è:,E,farmacologia,Preclinica,D,D,E
187,in quale tra i seguenti tessuti i farmaci si distribuiscono in generale più lentamente?,C,farmacologia,Preclinica,C,C,C
188,"con quale dei seguenti farmaci dovrebbe essere trattata una donna in gravidanza, peraltro sana, con recente insorgenza di pollachiuria, minzione imperiosa, disuria ed evidenza di batteruria?",C,farmacologia,Preclinica,C,C,C
189,quale tra i seguenti non è un neurotrasmettitore?,C,farmacologia,Preclinica,C,C,C
190,l'amiodarone è un farmaco:,C,farmacologia,Preclinica,C,C,C
191,quale di questi antibiotici è da preferire in caso di polmonite da legionella?,B,farmacologia,Preclinica,B,B,B
192,quale delle seguenti affermazioni è corretta?,D,farmacologia,Preclinica,D,D,D
193,l'eliminazione della penicillina g avviene:,A,farmacologia,Preclinica,B,A,B
194,una donna con irsutismo presenta alti livelli sierici di diidrotestosterone come probabile causa della sua manifestazione clinica. quale dei seguenti farmaci sarebbe il più indicato nell'inibire la formazione del diidrotestosterone?,C,farmacologia,Preclinica,C,C,C
195,i farmaci quando somministrati,B,farmacologia,Preclinica,D,B,B
196,"se la dose indicata di prednisone è di 10 mg, quella equiattiva di desametasone è:",B,farmacologia,Preclinica,B,B,B
197,una reazione allergica a un farmaco:,A,farmacologia,Preclinica,A,A,A
198,la secrezione acida gastrica può essere influenzata da:,D,farmacologia,Preclinica,D,D,D
199,qual è il meccanismo d'azione della mirtazapina?,C,farmacologia,Preclinica,B,C,C
200,quale dei seguenti effetti non è una manifestazione da sovradosaggio da barbiturici?,A,farmacologia,Preclinica,A,A,A
201,"la nitroglicerina determina direttamente o per via riflessa, tutti i seguenti effetti tranne:",B,farmacologia,Preclinica,A,B,E
202,in un paziente affetto da glaucoma è controindicato l'uso:,B,farmacologia,Preclinica,B,E,B
203,quale delle seguenti classi di farmaci inibisce la hmg-coa reduttasi ?,A,farmacologia,Preclinica,A,A,A
204,quale delle seguenti sostanze non può provocare una epatite tossica?,E,farmacologia,Preclinica,E,E,E
205,quale dei seguenti effetti avversi non è associata a terapia con estrogeni?,D,farmacologia,Preclinica,D,D,D
206,gli effetti gastrointestinali di metoclopramide e cisapride sono antagonizzati da farmaci che bloccano i recettori di:,C,farmacologia,Preclinica,B,B,A
207,un antagonista completo è,A,farmacologia,Preclinica,A,C,A
208,quale dei seguenti agenti farmacologici è il più efficace nel bloccare la secrezione dell'acido gastrico indotta dalla stimolazione vagale rispetto a quella indotta dall'istamina?,E,farmacologia,Preclinica,E,E,E
209,il rischio di emorragia in pazienti trattati con eparina è aumentato dall'aspirina poiché questa:,B,farmacologia,Preclinica,B,B,B
210,quale dei seguenti antibiotici è utilizzato per trattare la colite da clostridium difficile?,C,farmacologia,Preclinica,C,C,C
211,ad una donna di 27 anni è diagnosticata una lieve depressione endogena. lo psichiatra consiglia psicoterapia e farmacoterapia. quale dei seguenti farmaci potrebbe esser il meno probabilmente scelto per il rapporto sfavorevole tra azione terapeutica e ricchezza di azioni secondarie?,A,farmacologia,Preclinica,B,B,A
212,quale delle seguenti affermazioni è esatta ?,A,farmacologia,Preclinica,C,A,A
213,sono gli effetti indesiderati più importanti delle fenotiazine:,E,farmacologia,Preclinica,E,E,E
214,l'effetto tossico principale degli inibitori dell'enzima hmg-coa reduttasi è rappresentato da:,B,farmacologia,Preclinica,B,B,B
215,quale delle seguenti affermazioni sul warfarin è corretta?,D,farmacologia,Preclinica,D,D,D
216,quale tra le seguenti condizioni non è una indicazione all'uso dell'omeprazolo?,D,farmacologia,Preclinica,D,D,D
217,la cocaina ha azioni di tipo:,D,farmacologia,Preclinica,D,D,D
218,quale tra le seguenti non è una indicazione clinica specifica delle benzodiazepine?,D,farmacologia,Preclinica,D,D,D
219,quale dei seguenti non è un effetto collaterale prevedibile in caso di trattamento con anticolinergici?,E,farmacologia,Preclinica,E,E,B
220,"uno dei seguenti antibiotici appartiene al gruppo delle polimixine, quale?",B,farmacologia,Preclinica,B,B,B
221,"in pazienti asmatici, i farmaci beta-2 agonisti a breve durata d'azione, somministrati per via inalatoria:",D,farmacologia,Preclinica,D,D,D
222,quale delle seguenti non è una indicazione clinica delle benzodiazepine?,C,farmacologia,Preclinica,E,C,C
223,sono possibili effetti tossici per l'iperdosaggio di vitamina a:,E,farmacologia,Preclinica,E,E,E
224,la somministrazione di ferro per via endovenosa è da preferirsi:,C,farmacologia,Preclinica,C,C,C
225,i farmaci antiinfiamatori sono anche:,B,farmacologia,Preclinica,B,B,B
226,"per antibiotico ""a largo spettro"" si intende:",C,farmacologia,Preclinica,C,C,C
227,la tolleranza alle benzodiazepine ne limita l'utilizzazione clinica principalmente nel trattamento di:,E,farmacologia,Preclinica,B,B,B
228,un antagonista competitivo:,B,farmacologia,Preclinica,B,B,B
229,una delle seguenti cefalosporine è ben assorbita per via orale; indicare quale.,C,farmacologia,Preclinica,C,C,C
230,quale tra le seguenti non è una proprietà farmacologica dei barbiturici?,A,farmacologia,Preclinica,D,A,B
231,un uomo di 23 anni lamenta impotenza sessuale e diminuita libidine. l'esame dell'ejaculato mostra oligospermia. quale dei seguenti agenti farmacologici potrebbe essere responsabile di questo effetto avverso?,D,farmacologia,Preclinica,D,B,B
232,indicare fra i seguenti un glucocorticoide a durata d'azione intermedia:,E,farmacologia,Preclinica,D,E,D
233,la carbenicillina è elettivamente indicata nelle infezioni da:,A,farmacologia,Preclinica,C,A,A
234,i sali di litio sono principalmente impiegati in:,D,farmacologia,Preclinica,D,D,D
