id,question,A,B,C,D,E,answer,category,macro category
1642,"nella caratterizzazione anatomo-patologica del morbo di crohn, quale tra le seguenti non e' una delle caratteristiche osservabili?",infiltrato granulocitario a livello dell'epitelio,cripte coliche irregolari e ramificate,ulcerazioni,infiammazione isolata dello strato epiteliale,granulomi non necrotizzanti,E,Area Clinica 2016,medicina specialistica
1680,"osvaldo, anni 52-enne, ha una storia di diarrea e calo ponderale che si può far riferire a due anni prima. non c'è storia di sanguinamento gastroenterico ed una ricerca di sangue occulto fecale è risultata negativa su tre campioni. ammette di averci dato dentro con l'alcol in passato, ma da diversi anni è assolutamente astinente. ha un diabete, controllato con insulina. sei anni prima è stato colecistectomizzato. gli esami di laboratorio sono normali, se si fa eccezione per una lieve anemia, così come normali sono lo studio radiologico del piccolo e del grosso intestino. a questo punto, suggerireste:",ercp (colangiopancreatolografia retrograda per via endoscopica),biopsia digiunale,dosaggio dei grassi fecali,breath test per disaccaridi,colonscopia più biopsia,C,Area Clinica 2016,medicina specialistica
1768,la sindrome di gilbert è caratterizzata da:,iperbilirubinemia indiretta a digiuno,iperbilirubinemia diretta a digiuno,ipertransaminasemia asintomatica,subittero e iperbilirubinemia diretta a digiuno,subittero e iperbilirubinemia indiretta a digiuno,A,Area Clinica 2016,medicina specialistica
2204,"nell'artrite reumatoide, oltre alle articolazioni, quale organo, tra quelli indicati, non è generalmente coinvolto ?",cute,polmoni,cuore,sistema nervoso,fegato,E,Area Clinica 2016,medicina specialistica
2207,"la lombalgia o la dorsalgia notturna, che sveglia il paziente verso le ultime ore della notte, indirizza verso la diagnosi di:",scoliosi,osteoartrosi,spondilolistesi,spondilite anchilosante,artrite reumatoide,D,Area Clinica 2016,medicina specialistica
2236,"tutti i seguenti sono elementi a favore di una diagnosi di osteoartrosi piuttosto che di artrite reumatoide, tranne:",interessamento poliarticolare,ves e pcr normali,presenza di noduli di heberden,presenza di osteofiti del ginocchio,rigidità mattutina di durata < 30 min,A,Area Clinica 2016,medicina specialistica
2258,l'alterazione oculare caratteristica della s. di sjogren è:,la cataratta,l'aumento della pressione endoculare,l'atrofia del nervo ottico,la cheratocongiuntivite secca,la iridociclite,D,Area Clinica 2016,medicina specialistica
2352,la pancreatite acuta può presentarsi in corso di:,ipercolesterolemia,ipertrigliceridemia,iperchilomicronemia,forma combinata,iper-hdl,C,Area Clinica 2016,medicina specialistica
2381,nel linfoma di hodgkin:,la prognosi è infausta nella maggior parte dei casi,le cellule neoplastiche sono numerose e derivano da precursori linfoidi t,la diagnosi deve sempre basarsi su un riscontro istologico,le indagini di stadiazione sono poco rilevanti,il mediastino è sempre coinvolto,C,Area Clinica 2016,medicina specialistica
2392,le anemie megaloblastiche sono caratterizzate da:,microcitosi delle emazie associata a carenza di folati e/o vitamina b12,carenza di folati e/o vitamina b12,reticolocitosi,ittero,megacolon tossico,B,Area Clinica 2016,medicina specialistica
2399,il controllo della terapia eparinica va fatto con:,valutazione della piastrinemia,tempo di emorragia,prova del laccio,tempo di tromboplastina parziale,dosaggio del fibrinogeno,D,Area Clinica 2016,medicina specialistica
2446,"le seguenti manifestazioni cliniche di un'anemia da carenza di vit.b12 sono tutte reversibili con la somministrazione della vit b12, eccetto:",danno del midollo spinale,anemia,neutropenia,neuropatia periferica,trombocitopenia,A,Area Clinica 2016,medicina specialistica
2459,quale delle seguenti condizioni non si associa ad un prolungamento del tempo di emorragia:,uremia,piastrinopenia grave,mieloma multiplo,emofilia,malattia di von willebrand,D,Area Clinica 2016,medicina specialistica
2461,la splenomegalia è di frequente riscontro alla diagnosi in corso di:,mieloma multiplo,micosi fungoide,anemia aplastica,leucemia mieloide cronica,emofilia,D,Area Clinica 2016,medicina specialistica
2512,il dotto parotideo (di stenone) sbocca a livello del colletto del:,ii molare superiore,i premolare superior,ii premolare superiore,i molare inferiore,iii molare inferiore,C,Area Clinica 2016,organi di senso
2614,"la tonsillite ""pseudomembranosa"" si osserva, oggi, nell'ambito di quale quadro morboso:",morbillo,mononucleosi infettiva,insufficienza renale,morbo di basedow,sinusite mascellare,A,Area Clinica 2016,organi di senso
2708,quale delle seguenti cndizioni non è associata con abnormi livelli materni di alfa-fetoprotein?,malattia epatica materna,gravidanza multipla,morte fetale intrauterina,nefrosi congenita fetale,idrocefalo fetale,E,Area Clinica 2016,ostetricia e ginecologia
2710,quale dei seguenti valori fisiologici o di laboratorio non diminuisce nel secondo trimestre di una gravidanza normale?,frequenza cardiaca,ematocrito,velocità di eritrosedimentazione,sodiemia,volume respiratorio minuto,B,Area Clinica 2016,ostetricia e ginecologia
2717,quale delle seguenti non è caratteristico dell'iperemesi di gravidanza?,ipokalemia,perdita di peso,chetonemia,nausea e vomito,acidosi metabolica,E,Area Clinica 2016,ostetricia e ginecologia
2762,le cellule interstiziali del leydig sono deputate alla produzione di:,spermatogeni,estrogeni,testosterone,mineralcorticoidi,glicocorticoidi,C,Area Clinica 2016,ostetricia e ginecologia
2786,"tutti i seguenti valori fisiologici o di laboratorio subiscono variazioni nel secondo trimestre di una gravidanza normale, tranne:",frequenza cardiaca,ematocrito,velocita di eritrosedimentazione,sodiemia,volume respiratorio minuto,D,Area Clinica 2016,ostetricia e ginecologia
2900,quale delle seguenti è caratteristico di un soffio innocente all'ascoltazione?,è protomesosistolico,è continuo,è mesotelesistolico,è diastolico in posizione supina,è presente solo dopo sforzo fisico,A,Area Clinica 2016,pediatria
2988,qual è la più frequente causa di ipoglicemia in un bambino di età < 1 anno:,iperinsulinismo,ipopituitarismo,ipoglicemia chetotica,deficit enzimatico della neoglucogenesi,malassorbimento,A,Area Clinica 2016,pediatria
2989,"tutte le seguenti affermazioni sul calo ponderale nei primi giorni di vita sono corrette, tranne:",può essere anche del 15% nel pretermine,e' dovuto alla abbondante perdita di meconio e di liquidi,e' dovuto alla relativa carenza calorica dei primi 2-3 giorni,il peso della nascita deve essere recuperato entro il 5° giorno di vita*,si considera fisiologico un calo fino a circa il 10% del peso della nascita,D,Area Clinica 2016,pediatria
2991,"l'emocromo di un paziene mostra un basso volume corpuscolare, ed una bassa conta dei reticolociti. quale delleseguenti diagnosi è la più probabile?",talassemia major,anemia sideropenica,anemia da malattia cronica,trait talassemico,anemia da carenza di acido folico,B,Area Clinica 2016,pediatria
3042,"tutte le seguenti tecniche vengono utilizzate nella valutazione diagnostica del reflusso gastro-esofageo, tranne:",pasto baritato,manometria esofagea,phmetria esofagea,scintigrafia con tecnezio marcato,breath test all'urea,E,Area Clinica 2016,pediatria
3045,il diverticolo di meckel e' situato:,nel retto,nell'ileo a 20-60 cm dalla valvola ileocecale,nell'ileo a 120 cm dalla valvola ileocecale,nel colon,nell'esofago,B,Area Clinica 2016,pediatria
3056,quale delle seguenti affermazioni sull'artrite reumatoide giovanile è corretta:,la forma pauciarticolare di tipo ii è la più frequente,il morbo di still è più frequente nelle femmine,l'iridociclite è molto frequente nella poliarticolare,la pauciarticolare di tipo ii è associata ad hlab27,la sacroileite è frequente nella poliartiarticolare con fattore reumatoide positivo,D,Area Clinica 2016,pediatria
3090,a quale età si pratica la vaccinazione anti-papillomavirus?,nel 6° anno di vita,nel 12° anno di vita,nell'8° anno di vita,alla nascita,nel 10° anno di vita,A,Area Clinica 2016,pediatria
3097,quando un neonato si definisce di peso estremamente basso (elbw?),al di sotto di 2500 grammi,al di sotto di 2000 grammi,al di sotto di 1500 grammi,al di sotto di 1000 grammi,al di sotto di 500 grammi,D,Area Clinica 2016,pediatria
3119,"una ragazza di 12 anni sviluppa ittero, tremori progressivi e labilita' emotiva. quale delle seguenti piu' probabilmente potresti trovare nel corso dell'esame obiettivo?",circonferenza cranica maggiore del 95mo percentile,discolorazione marrone della regione limbica della cornea,sordita' di trasmissione bilaterale,linfoadenopatia generalizzata,un ciuffo di capelli e fovea sacrale,B,Area Clinica 2016,pediatria
3137,quale delle seguenti dichiarazioni riguardanti le masse del collo in un bambino è falsa?,può essere dovuta ad anomalie tiroidee,"se la massa si alza con la protrusione della lingua, potrebbe rappresentare una cisti del dotto tireoglosso",se si trova nella linea mediana è difficile che rappresenti una cisti da schisi branchiale,può essere dovuta ad una linfoadenite,ha una più alta possibilità di essere maligna rispetto ad una massa del collo in un adulto,D,Area Clinica 2016,pediatria
3148,a che età dovrebbe essere eseguito l test ti guthrie?,al momento della nascita,a 7 giorni,a 14 giorni,a 2 mesi,a 3 mesi,B,Area Clinica 2016,pediatria
3171,"una ragazza di 4 anni presenta pallore, irritabilità, distensione addominale e diarrea grassa. l'esame ematico mostra sia un'anemia macrocitica che microcitica. quale delle seguenti sarebbe l'indagine prossima più utile?",esame del sudore,radiografia dell'addome,breath test,anticorpi antiendomisio,ecografia addominale,D,Area Clinica 2016,pediatria
3377,"tutte le seguenti condizioni d'anno un'immagine di ""minus"" in una radiografia dello stomaco con mezzo maritato, tranne:",cancro gastrico vegetante,polipo gastrico,lipoma gastrico,tricofitobezooar,gastrite cronica,E,Area Clinica 2016,radiologia e diagnostica
3393,quali sono le principali controindicazioni all'esecuzione di un esame rm?,presenza di pacemaker e di apparecchi di monitoraggio e di supporto per pazienti in terapia intensiva,presenza di frammenti ferrometallici a livello corneale,pazienti con clips vascolari postchirugiche non paramagnatiche,pazienti con protesi valvolari cardiache metalliche non paramagnetiche,tutte le risposte sono esatte,E,Area Clinica 2016,radiologia e diagnostica
3401,per valutare la lesione del legamento crociato anteriore e' necessario eseguire :,rx grafia,scintigrafia,ecografia,rmn,rmn con mdc,D,Area Clinica 2016,radiologia e diagnostica
132,a quanti cm. dalla valvola ileo-cecale si reperta più frequentemente il diverticolo di meckel:,a 20 cm.,a 10 cm.,a 60 cm,a 1 metro,"a 1 ,5 metro",C,Area Clinica 2017,chirurgia generale
150,"donna di 60 anni con neoplasia di 1 cm. di diametro, localizzata al quadrante supero-esterno della mammella dx. senza evidenti metastasi a distanza. la paziente gode di un ottimo stato di salute, è autonoma nella sua vita di relazione e vive in famiglia. quale tra le seguenti è l'opzione terapeutica chirurgica più ragionevole?",non si opera,si opera con mastectomia radicale conservando i muscoli pettorali,si esegue una quadrantectomia con esame del linfonodo sentinella,si esegue tumorectomia in anestesia locale,si esegue mastectomia sottocutanea,C,Area Clinica 2017,chirurgia generale
177,a quale dei seguenti requisiti risponde una neoplasia mammaria classificata allo stadio i?,neoplasia di grandezza inferiore a 1 cm,assenza di linfonodi omolaterali palpabili,assenza di metastasi,a tutti i requisiti indicati,a nessuno dei requisiti indicati,D,Area Clinica 2017,chirurgia generale
265,un episodio di melena in un paziente portatore di un by-pass aorto-bi-femorale deve far sospettare come piu' probabile quale delle seguenti cause:,un'ulcera da stress,una fistola aorto-duodenale,infarto mesenterico,altra patologia emorragica gastro-enterica,diverticolo di meckel,B,Area Clinica 2017,chirurgia generale
315,le statine svolgono un effetto protettivo nei confronti dello sviluppo di polipi adenomatosi della mucosa colorettale. questa protezione e' direttamente correlata a :,durata del trattamento,dosaggio del trattamento,durata e dosaggio del trattamento,"non e' correlata ne' al dosaggio , ne' alla durata",e' un'affermazione senza fondamento scientifico,C,Area Clinica 2017,chirurgia generale
321,quale dei seguenti non e' un segno / sintomo caratteristico di carcinoma del retto?,tenesmo rettale,modificazioni dell'alvo,rettorragia,tumefazione palpabile all'esame obiettivo dell'addome,senso di peso da corpo estraneo in sede rettale,D,Area Clinica 2017,chirurgia generale
395,"la cardioversione elettrica sincronizzata non ha indicazioni in tutte le seguenti condizioni, tranne che:",nella tachicardia ventricolare senza polso,nella fibrillazione elettrica,nel blocco a-v di ii° a tipo mobitz ii,nel flutter atriale,nella dissociazione elettromeccanica,D,Area Clinica 2017,chirurgia generale
440,quale di queste malattie non e' un'indicazione al trapianto al polmone:,adenocarcinoma,linfangioleiomiomatosi,enfisema,istiocitosi x,fibrosi cistica,A,Area Clinica 2017,chirurgia specialistica
654,da alcuni mesi salvatore lamenta dispnea per sforzi in precedenza ben tollerati (brevi rampe di scale) ; da qualche settimana si sveglia spesso di notte con la sensazione di mancanza d'aria. da qualche tempo dorme con due grossi cuscini. a quale delle seguenti sindromi corrisponde il il quadro clinico descritto?,insufficienza ventricolare sinistra,scompenso cardiaco destro,crisi di panico,asma bronchiale,insufficienza coronarica,A,Area Clinica 2017,medicina interna
667,per eritema si intende:,arrossamento della cute che scompare alla pressione digitale,arrossamento della cute che non scompare alla pressione digitale,arrossamento della cute con vescicole,una rilevatezza della cute circoscritta con edema,arrossamento della cute con prurito intenso,A,Area Clinica 2017,medicina interna
675,quale segno non si rileva nella stenosi mitralica?,soffio diastolico con rinforzo presistolico,polso celere,accentuazione del ii tono alla punta,accentuazione del ii tono alle basi,schiocco di apertura,B,Area Clinica 2017,medicina interna
681,"tutte le seguenti affermazioni che riguardano l'asma bronchiale sono corrette, tranne:",è una malattia infiammatoria della mucosa bronchiale,è una malattia cronica con riacutizzazioni scatenate da fattori diversi,è una malattia caratterizzata da accessi di dispnea e senso di costrizione toracica,è una malattia caratterizzata da broncospasmo reversibile,è una malattia che inevitabilmente si associa a scompenso cardiaco,E,Area Clinica 2017,medicina interna
736,quale delle seguenti affermazioni è vera in un paziente con ipercalcemia da sarcoidosi?,la radiografia del torace è sempre normale,l'assorbimento intestinale di calcio è aumentato,l'eliminazione urinaria di calcio è normale,i livelli di pth sierico sono elevati,è presente spesso ipogammaglobulinemia,B,Area Clinica 2017,medicina interna
763,tutte le seguenti sono cause di ipokaliemia tranne:,terapia con farmaci inibitori del sistema renina-angiotensina,alcalosi metaboliche,sindrome di cushing,vomito persistente,terapia diuretica,A,Area Clinica 2017,medicina interna
769,l'uso non terapeutico di steroidi androgeni anabolizzanti può causare:,infertilità,tumori epatici benigni ed epatocarcinomi,psicosi maniacodepressiva,ictus,tutte le altre risposte indicate,E,Area Clinica 2017,medicina interna
792,"nella sincope vaso-vagale tutti i seguenti sintomi sono presenti, tranne:",dolore anginoso,sudorazione,iperperistalsi,bradicardia,vascocostrizione cutanea,A,Area Clinica 2017,medicina interna
802,"quali dei seguenti gruppi di farmaci antipertensivi e' piu' corretto utilizzare all'inizio della terapia in un paziente, uomo, di 45 anni, che non presenta altre comorbilita'?",i calcio antagonisti,gli ace-i,i sartanici,i beta-bloccanti,e' indifferente la classe di farmaci scelta purche' si raggiungano i livelli pressori target,E,Area Clinica 2017,medicina interna
840,la prescrizione dei farmaci per indicazioni non previste in scheda tecnica è possibile?,soltanto se medico specialista,talvolta,sempre se autorizzati dal paziente,è consentita purchè la loro efficacia e tollerabilità sia scientificamente documentata,si purchè la loro efficacia e tollerabilità sia scientificamente documentata e solo dopo aver acquisito il consenso scritto del paziente adeguatamente informato.,E,Area Clinica 2017,medicina interna
842,quale delle seguenti definizioni di appropriatezza clinica è corretta ?,"fa riferimento ai criteri di efficacia e sicurezza che implicano il fatto che la scelta fatta comporti benefici al paziente, creando il minor numero di effetti negativi",valuta e misura le giornate di degenza o i livelli di effettuazione delle prestazioni cliniche,definisce il tempo dedicato per una prestazione diagnostica strumentale o clinica,"fa riferimento ai criteri di efficacia, sicurezza ed economicità delle prestazioni sanitarie",è un indicatore utilizzato in farmacoeconomia,A,Area Clinica 2017,medicina interna
846,il medico può rifiutare una certificazione ad un cittadino?,sì,talvolta,"no, non può rifiutare di rilasciare direttamente al cittadino certificati relativi al suo stato di salute",sì se non è il medico curante,sì se se è pediatra di base,C,Area Clinica 2017,medicina interna
892,quale dei seguenti sintomi è comunemente presente nel cancro del colon discendente?,incontinenza,tenesmo,vomito,malassorbimento,dolore addominale di tipo peristaltico,E,Area Clinica 2017,medicina interna
1624,l'insufficienza ventricolare destra è secondaria a quale delle seguenti condizioni?,stenosi dell'istmo dell'aorta,insufficienza valvolare aortica,stenosi valvolare aortica,sarcoidosi polmonare cronica,ipertensione arteriosa grave,D,Area Clinica 2017,medicina specialistica
1669,"osvaldo, anni 52, ha una storia di diarrea e calo ponderale che si può far riferire a due anni prima. non c'è storia di sanguinamento gastroenterico ed una ricerca di sangue occulto fecale è risultata negativa su tre campioni. ammette di averci dato dentro con l'alcol in passato, ma da diversi anni è assolutamente astinente. ha un diabete, controllato con insulina. sei anni prima è stato colecistectomizzato. gli esami di laboratorio sono normali, se si fa eccezione per una lieve anemia, così come normali sono lo studio radiologico del piccolo e del grosso intestino. a questo punto, suggerireste:",ercp (colangiopancreatolografia retrograda per via endoscopica),biopsia digiunale,dosaggio dei grassi fecali,breath test per disaccaridi,colonscopia più biopsia,C,Area Clinica 2017,medicina specialistica
2194,in quale delle seguenti patologie risulta positivo l'antigene hlab27 ?,scoliosi,osteoartrosi,spondilolistesi,spondilite anchilosante,artrite reumatoide,D,Area Clinica 2017,medicina specialistica
2223,"tutti i seguenti sono elementi a favore di una diagnosi di osteoartrosi piuttosto che di artrite reumatoide, tranne:",positività degli ana,ves e pcr normali,presenza di noduli di heberden,presenza di osteofiti del ginocchio,rigidità mattutina di durata < 30 min,A,Area Clinica 2017,medicina specialistica
2245,l'alterazione oculare caratteristica della sindrome di sjogren è:,la cataratta,l'aumento della pressione endoculare,l'atrofia del nervo ottico,la cheratocongiuntivite secca,la iridociclite,D,Area Clinica 2017,medicina specialistica
2367,quale delle seguenti affermazioni è vera nel linfoma di hodgkin?,la prognosi è infausta nella maggior parte dei casi,le cellule neoplastiche sono numerose e derivano da precursori linfoidi t,la diagnosi deve sempre basarsi su un riscontro istologico,le indagini di stadiazione sono poco rilevanti,il mediastino è sempre coinvolto,C,Area Clinica 2017,medicina specialistica
2378,le anemie megaloblastiche sono caratterizzate da:,microcitosi delle emazie associata a carenza di folati e/o vitamina b12,carenza di folati e/o vitamina b12,reticolocitosi,ittero,piastrinopenia,B,Area Clinica 2017,medicina specialistica
2385,il controllo della terapia anticoagulante orale con dicumarolici si effettua con:,valutazione della piastrinemia,tempo di emorragia,prova del laccio,valutazione di pt/inr,dosaggio del fibrinogeno,D,Area Clinica 2017,medicina specialistica
2432,quale delle seguenti manifestazioni cliniche di un'anemia da carenza di vit.b12 non è reversibile con la somministrazione della vit b12?,danno del midollo spinale,anemia,neutropenia,neuropatia periferica,trombocitopenia,A,Area Clinica 2017,medicina specialistica
2446,in quale delle seguenti situazioni è più frequente il riscontro di splenomegalia?,mieloma multiplo,micosi fungoide,anemia aplastica,leucemia mieloide cronica,emofilia,D,Area Clinica 2017,medicina specialistica
2571,il dotto parotideo (di stenone) sbocca a livello del colletto del:,ii molare superiore,i premolare superiore,ii premolare superiore,i molare inferiore,iii molare inferiore,A,Area Clinica 2017,organi di senso
2599,"la tonsillite ""pseudomembranosa"" si osserva, oggi, nell'ambito di quale quadro morboso:",morbillo,mononucleosi infettiva,insufficienza renale,morbo di basedow,sinusite mascellare,B,Area Clinica 2017,organi di senso
